{'position': {'x': 797.203674, 'y': 181.719055, 'z': -1510.565674}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 686.128235, 'y': 184.155899, 'z': -1660.007446}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 805.940979, 'y': 182.25325, 'z': -1506.046021}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 428.91922, 'y': 185.36972, 'z': -1370.653564}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 390.664825, 'y': 190.076965, 'z': -1541.655029}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 491.831177, 'y': 198.527893, 'z': -1443.38855}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 483.810974, 'y': 193.278793, 'z': -1310.545166}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 463.453491, 'y': 190.133438, 'z': -1317.701294}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 621.889038, 'y': 190.547607, 'z': -1480.301147}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 485.177917, 'y': 198.783478, 'z': -1291.275024}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 649.657532, 'y': 182.944183, 'z': -1683.935059}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 667.296509, 'y': 183.558456, 'z': -1673.107178}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 377.265656, 'y': 184.076324, 'z': -1377.411743}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 641.740906, 'y': 182.47049, 'z': -1586.233887}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 718.968811, 'y': 187.074493, 'z': -1679.137329}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 500.347076, 'y': 193.519806, 'z': -1325.380859}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 667.238281, 'y': 197.030716, 'z': -1484.139282}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 402.341888, 'y': 191.327942, 'z': -1545.892944}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 780.283997, 'y': 189.11557, 'z': -1438.884766}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 384.685974, 'y': 193.498138, 'z': -1422.903809}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 706.945618, 'y': 195.176926, 'z': -1479.44165}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 742.725464, 'y': 189.23114, 'z': -1479.42688}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 651.848694, 'y': 192.056396, 'z': -1624.562866}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 571.704346, 'y': 183.284149, 'z': -1558.254028}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 429.548035, 'y': 184.833725, 'z': -1591.723511}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 701.945496, 'y': 182.769089, 'z': -1497.79187}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 776.921143, 'y': 184.898529, 'z': -1530.489868}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 574.126099, 'y': 185.905106, 'z': -1479.583374}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 517.85907, 'y': 192.894058, 'z': -1464.700195}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 591.551392, 'y': 183.497955, 'z': -1618.320923}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 377.039398, 'y': 183.177673, 'z': -1566.17041}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 420.448151, 'y': 193.437439, 'z': -1549.226563}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 496.680573, 'y': 200.536697, 'z': -1293.167236}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 534.75708, 'y': 189.116562, 'z': -1508.556396}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 401.678253, 'y': 196.084778, 'z': -1322.639893}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 450.533569, 'y': 200.219452, 'z': -1440.156616}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 756.904846, 'y': 188.844238, 'z': -1542.434814}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 334.821472, 'y': 184.210205, 'z': -1559.053467}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 698.764954, 'y': 180.078537, 'z': -1544.624146}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 394.916565, 'y': 185.40834, 'z': -1561.646606}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 561.337708, 'y': 189.526245, 'z': -1664.28479}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 389.679047, 'y': 196.363129, 'z': -1441.065186}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 668.041138, 'y': 196.375168, 'z': -1482.045166}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 799.494202, 'y': 184.584702, 'z': -1489.412476}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 452.96106, 'y': 182.727142, 'z': -1359.461426}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 542.073181, 'y': 182.987457, 'z': -1426.120361}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 783.021851, 'y': 184.136658, 'z': -1504.369751}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 410.13443, 'y': 189.030014, 'z': -1556.919189}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 499.762878, 'y': 188.250504, 'z': -1599.052856}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 450.059052, 'y': 180.977051, 'z': -1501.244141}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 689.928467, 'y': 184.305862, 'z': -1694.829468}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 340.135681, 'y': 189.783493, 'z': -1373.010986}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 662.702209, 'y': 178.427917, 'z': -1543.185791}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 475.398621, 'y': 186.666168, 'z': -1649.863525}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 730.992981, 'y': 189.119339, 'z': -1664.407959}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 407.908905, 'y': 184.049088, 'z': -1586.411743}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 708.869934, 'y': 185.974747, 'z': -1662.852417}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 483.628601, 'y': 184.577652, 'z': -1472.156372}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 438.327515, 'y': 185.036438, 'z': -1592.158203}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 474.752625, 'y': 198.27681, 'z': -1439.012207}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 414.821869, 'y': 180.115372, 'z': -1487.765747}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 596.010254, 'y': 187.21611, 'z': -1390.566772}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 395.555359, 'y': 183.345734, 'z': -1604.634888}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 379.470612, 'y': 197.978638, 'z': -1673.545166}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 702.284912, 'y': 185.852432, 'z': -1626.093506}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 687.064636, 'y': 193.108063, 'z': -1471.184204}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 10}
