{'position': {'x': 1197.959839, 'y': 240.439575, 'z': -866.304688}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 4}
{'position': {'x': 1155.707153, 'y': 251.27977, 'z': -733.223389}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1326.859497, 'y': 259.035004, 'z': -911.970947}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 890.591553, 'y': 315.216705, 'z': -794.861633}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1225.004761, 'y': 239.356125, 'z': -858.988281}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 1192.317871, 'y': 250.713364, 'z': -748.891907}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1245.993164, 'y': 233.798035, 'z': -854.727783}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 822.846313, 'y': 294.153717, 'z': -736.826111}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 807.182617, 'y': 296.096497, 'z': -741.05896}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1255.438354, 'y': 231.993073, 'z': -875.648987}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 868.358276, 'y': 294.047333, 'z': -720.38324}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 804.970093, 'y': 293.140289, 'z': -723.727478}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1254.217529, 'y': 232.097168, 'z': -818.120483}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 930.912109, 'y': 324.399963, 'z': -826.734802}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1068.078857, 'y': 263.685516, 'z': -859.055603}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1255.658325, 'y': 234.24971, 'z': -791.032898}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 943.290222, 'y': 347.648499, 'z': -739.971436}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1118.171143, 'y': 259.731323, 'z': -741.878174}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1126.108276, 'y': 250.5, 'z': -830.151123}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 4}
{'position': {'x': 1269.991455, 'y': 229.434509, 'z': -872.486145}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 4}
{'position': {'x': 1136.528564, 'y': 250.557251, 'z': -820.916077}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'riverside', 'substance': 'tsuchi', 'area_no': 4}
{'position': {'x': 775.759521, 'y': 297.946289, 'z': -757.618774}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1122.390869, 'y': 250.5, 'z': -855.72522}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 4}
{'position': {'x': 984.038696, 'y': 294.654266, 'z': -820.661255}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 864.283813, 'y': 294.023224, 'z': -783.24292}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 865.41394, 'y': 308.075134, 'z': -792.073059}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1086.316895, 'y': 261.139984, 'z': -843.888733}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1085.098999, 'y': 262.33197, 'z': -701.654663}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 981.651306, 'y': 324.273468, 'z': -808.930725}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 1195.9552, 'y': 335.674957, 'z': -795.599182}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 776.990234, 'y': 294.752289, 'z': -728.069458}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
{'position': {'x': 827.354675, 'y': 297.33725, 'z': -774.014465}, 'level_range': {'x': 14.0, 'y': 17.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 4}
