{'position': {'x': 943.390381, 'y': 448.299988, 'z': -1024.67041}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'hate_kusa', 'area_no': 6}
{'position': {'x': 953.583374, 'y': 453.234558, 'z': -927.448364}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 968.105286, 'y': 448.299988, 'z': -979.063538}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 6}
{'position': {'x': 964.965637, 'y': 448.299988, 'z': -1042.576294}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 931.102295, 'y': 448.299988, 'z': -998.77179}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 903.791199, 'y': 452.043152, 'z': -1047.369141}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 860.895081, 'y': 451.660614, 'z': -1023.005798}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 974.978699, 'y': 452.513062, 'z': -928.616272}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 944.437744, 'y': 448.299988, 'z': -1022.289429}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 6}
{'position': {'x': 1008.066895, 'y': 450.751953, 'z': -947.579224}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 949.883606, 'y': 448.299988, 'z': -996.514893}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 6}
{'position': {'x': 991.789063, 'y': 451.460297, 'z': -955.005249}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 1017.565552, 'y': 451.06427, 'z': -1000.235046}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 958.748535, 'y': 448.974976, 'z': -1061.987061}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 6}
{'position': {'x': 967.967041, 'y': 448.299988, 'z': -1023.634216}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 1005.953918, 'y': 453.513733, 'z': -990.110779}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 1011.689514, 'y': 448.788361, 'z': -1032.141479}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 885.796082, 'y': 450.472015, 'z': -1039.401733}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 952.990601, 'y': 448.9086, 'z': -1104.645508}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 939.986572, 'y': 448.299988, 'z': -971.594543}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 966.845703, 'y': 448.299988, 'z': -977.841003}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 6}
{'position': {'x': 900.992737, 'y': 451.346985, 'z': -1055.705322}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 919.815247, 'y': 448.788361, 'z': -1062.0625}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 1023.601624, 'y': 450.061981, 'z': -1030.74292}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 926.929932, 'y': 448.805573, 'z': -1065.633545}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 1011.009399, 'y': 456.428131, 'z': -976.79303}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 938.553467, 'y': 448.788361, 'z': -1064.131104}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 1054.264771, 'y': 452.543152, 'z': -1004.020813}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 983.474854, 'y': 448.299988, 'z': -1052.872803}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 6}
{'position': {'x': 869.464478, 'y': 455.920776, 'z': -1009.111938}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 940.230896, 'y': 448.299988, 'z': -977.872864}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 935.319092, 'y': 448.299988, 'z': -995.798706}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 871.339111, 'y': 449.544922, 'z': -1030.953491}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 858.50177, 'y': 454.343781, 'z': -1014.333984}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 957.243347, 'y': 450.764313, 'z': -938.943115}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 967.712402, 'y': 448.757843, 'z': -1066.996582}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 984.762573, 'y': 448.299988, 'z': -998.111389}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 6}
{'position': {'x': 935.470886, 'y': 448.299988, 'z': -987.959778}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 966.582947, 'y': 451.239532, 'z': -935.821289}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 926.820984, 'y': 448.757446, 'z': -973.435059}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'jari', 'area_no': 6}
{'position': {'x': 966.284424, 'y': 449.989471, 'z': -1084.453125}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 6}
{'position': {'x': 942.657776, 'y': 448.299988, 'z': -1001.371643}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 6}
