{'position': {'x': 306.982117, 'y': 205.335754, 'z': -1239.908691}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 581.74231, 'y': 161.729797, 'z': -554.608765}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 319.586639, 'y': 197.601059, 'z': -1200.652222}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 328.525787, 'y': 213.013992, 'z': -1280.073975}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 406.666534, 'y': 146.290283, 'z': -494.818726}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 7}
{'position': {'x': 438.225586, 'y': 157.957428, 'z': -742.518494}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 338.580414, 'y': 166.519836, 'z': -962.064453}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 576.044373, 'y': 155.871719, 'z': -484.016022}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 427.883759, 'y': 148.405121, 'z': -620.241577}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 329.971558, 'y': 176.642334, 'z': -1061.710938}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'rocky_area', 'substance': 'hate_kusa', 'area_no': 7}
{'position': {'x': 388.289551, 'y': 217.732941, 'z': -1316.472412}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 7}
{'position': {'x': 387.133423, 'y': 197.298843, 'z': -1198.759399}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 7}
{'position': {'x': 474.62854, 'y': 167.009232, 'z': -801.006042}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 512.18103, 'y': 167.291855, 'z': -616.675903}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 389.994019, 'y': 186.219482, 'z': -1132.369995}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 435.417633, 'y': 177.096603, 'z': -1104.59021}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 374.905182, 'y': 154.498428, 'z': -774.374573}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 593.93396, 'y': 153.322632, 'z': -659.755676}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 505.694489, 'y': 172.317535, 'z': -661.127075}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 7}
{'position': {'x': 398.078003, 'y': 143.03186, 'z': -481.537994}, 'level_range': {'x': 27.0, 'y': 34.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 533.674133, 'y': 157.68132, 'z': -684.126831}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 405.044373, 'y': 151.192657, 'z': -623.555054}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 369.552185, 'y': 137.0, 'z': -429.795929}, 'level_range': {'x': 27.0, 'y': 34.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 7}
{'position': {'x': 411.779114, 'y': 158.052032, 'z': -857.324036}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 363.348541, 'y': 213.347153, 'z': -1296.093018}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 357.09436, 'y': 184.407486, 'z': -1113.352051}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 7}
{'position': {'x': 381.273407, 'y': 144.53096, 'z': -501.462555}, 'level_range': {'x': 27.0, 'y': 34.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 316.622131, 'y': 138.558456, 'z': -411.140045}, 'level_range': {'x': 27.0, 'y': 34.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 369.45343, 'y': 212.082657, 'z': -1258.352905}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'rocky_area', 'substance': 'tsuchi', 'area_no': 7}
{'position': {'x': 407.554565, 'y': 158.804047, 'z': -920.913147}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 378.356079, 'y': 138.64241, 'z': -351.401215}, 'level_range': {'x': 27.0, 'y': 34.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 509.817413, 'y': 130.417328, 'z': -425.582031}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 589.599548, 'y': 142.608063, 'z': -443.85907}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 388.069366, 'y': 185.785355, 'z': -1130.388916}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 406.858185, 'y': 155.430084, 'z': -714.871399}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 368.385559, 'y': 165.970398, 'z': -1002.530518}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 469.974915, 'y': 161.432846, 'z': -732.199402}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 447.557831, 'y': 141.541534, 'z': -456.220367}, 'level_range': {'x': 27.0, 'y': 34.0}, 'biome': 'flower', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 333.537811, 'y': 170.455582, 'z': -1030.75354}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 584.566956, 'y': 142.406464, 'z': -443.937012}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'prairie', 'substance': 'iwa', 'area_no': 7}
{'position': {'x': 363.675018, 'y': 137.0, 'z': -387.287537}, 'level_range': {'x': 27.0, 'y': 34.0}, 'biome': 'lake', 'substance': 'kawasuna', 'area_no': 7}
{'position': {'x': 368.777283, 'y': 155.649109, 'z': -880.720398}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
{'position': {'x': 467.967773, 'y': 140.233597, 'z': -440.533142}, 'level_range': {'x': 18.0, 'y': 21.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 7}
