{'position': {'x': 1000.90564, 'y': 161.346558, 'z': -2831.185791}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 749.999207, 'y': 159.615982, 'z': -2731.468018}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 604.293823, 'y': 153.864136, 'z': -2826.989746}, 'level_range': {'x': 24.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 693.081421, 'y': 152.583664, 'z': -2937.448242}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 509.486359, 'y': 156.900253, 'z': -2813.114746}, 'level_range': {'x': 24.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 556.898071, 'y': 150.550659, 'z': -2876.639893}, 'level_range': {'x': 24.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 799.674438, 'y': 160.599976, 'z': -2696.022705}, 'level_range': {'x': 22.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 673.773132, 'y': 158.361481, 'z': -2839.960938}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 585.494446, 'y': 149.096359, 'z': -2694.904053}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 940.550842, 'y': 147.844162, 'z': -2939.493408}, 'level_range': {'x': 22.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1050.640991, 'y': 150.279938, 'z': -3134.835205}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1098.367798, 'y': 155.820175, 'z': -2764.163574}, 'level_range': {'x': 21.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 765.03418, 'y': 164.265366, 'z': -2677.771484}, 'level_range': {'x': 22.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1214.837524, 'y': 159.531601, 'z': -2988.041992}, 'level_range': {'x': 21.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1330.148926, 'y': 150.479294, 'z': -2943.702637}, 'level_range': {'x': 20.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 725.997009, 'y': 151.381241, 'z': -2875.320801}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 742.072449, 'y': 159.582581, 'z': -2733.273438}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1097.300659, 'y': 163.932449, 'z': -2891.00293}, 'level_range': {'x': 21.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1149.383301, 'y': 151.112488, 'z': -3031.624512}, 'level_range': {'x': 21.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1075.988647, 'y': 152.329269, 'z': -2717.115479}, 'level_range': {'x': 20.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 992.608154, 'y': 157.531158, 'z': -2892.712402}, 'level_range': {'x': 22.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 619.657715, 'y': 157.040558, 'z': -2853.459717}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1172.633423, 'y': 164.152344, 'z': -2968.586182}, 'level_range': {'x': 21.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 835.834229, 'y': 155.239059, 'z': -2905.328369}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1016.546082, 'y': 156.607071, 'z': -2908.380615}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 730.602722, 'y': 154.394791, 'z': -2807.119873}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1083.450073, 'y': 155.548813, 'z': -2625.695801}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'tsuchi', 'area_no': 10}
{'position': {'x': 1146.509888, 'y': 151.946777, 'z': -3106.800537}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 689.754333, 'y': 157.846451, 'z': -2825.474609}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 800.852844, 'y': 144.272232, 'z': -2954.844971}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 674.995667, 'y': 152.456345, 'z': -2961.947021}, 'level_range': {'x': 24.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1038.291382, 'y': 156.783997, 'z': -2650.846436}, 'level_range': {'x': 19.0, 'y': 23.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 973.928894, 'y': 150.325134, 'z': -2649.850586}, 'level_range': {'x': 20.0, 'y': 23.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 407.039673, 'y': 149.031906, 'z': -2754.973389}, 'level_range': {'x': 24.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 893.87384, 'y': 153.911469, 'z': -2645.956787}, 'level_range': {'x': 21.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1132.15271, 'y': 153.119904, 'z': -2770.654785}, 'level_range': {'x': 21.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 865.715271, 'y': 160.357666, 'z': -2887.148193}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1086.541382, 'y': 161.74321, 'z': -2926.023193}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 657.5802, 'y': 158.886642, 'z': -2839.721924}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 752.764465, 'y': 150.613312, 'z': -2840.824463}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 923.881531, 'y': 205.512604, 'z': -2751.021973}, 'level_range': {'x': 22.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 821.320618, 'y': 157.953506, 'z': -2636.648193}, 'level_range': {'x': 21.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 775.368225, 'y': 163.620789, 'z': -2684.838379}, 'level_range': {'x': 22.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 819.499573, 'y': 153.281631, 'z': -2915.357178}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 434.981201, 'y': 151.810349, 'z': -2779.88208}, 'level_range': {'x': 24.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1026.090698, 'y': 150.269089, 'z': -2696.993408}, 'level_range': {'x': 21.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1254.533569, 'y': 152.476852, 'z': -2717.451904}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 535.016907, 'y': 164.158859, 'z': -2755.523926}, 'level_range': {'x': 24.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 985.341614, 'y': 146.213898, 'z': -2951.395996}, 'level_range': {'x': 22.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 846.267334, 'y': 193.346573, 'z': -2693.566406}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1073.21167, 'y': 153.227325, 'z': -2741.141602}, 'level_range': {'x': 21.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1354.722656, 'y': 150.864792, 'z': -3047.602539}, 'level_range': {'x': 20.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1207.081177, 'y': 166.118027, 'z': -2839.028076}, 'level_range': {'x': 21.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1339.513306, 'y': 155.01973, 'z': -3080.088623}, 'level_range': {'x': 21.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 930.177734, 'y': 137.599228, 'z': -2994.366455}, 'level_range': {'x': 22.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1108.832886, 'y': 161.530487, 'z': -2814.395264}, 'level_range': {'x': 21.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 774.733032, 'y': 156.707275, 'z': -2626.799805}, 'level_range': {'x': 21.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1184.742188, 'y': 167.055267, 'z': -2961.012939}, 'level_range': {'x': 21.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 729.230774, 'y': 157.266129, 'z': -2572.248535}, 'level_range': {'x': 20.0, 'y': 23.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 10}
{'position': {'x': 1092.705322, 'y': 154.915268, 'z': -2687.88623}, 'level_range': {'x': 20.0, 'y': 23.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 619.44043, 'y': 157.023697, 'z': -2853.80542}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 776.327209, 'y': 158.102066, 'z': -2741.761719}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 615.768677, 'y': 155.662048, 'z': -2826.324219}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1134.072754, 'y': 158.779861, 'z': -2814.69751}, 'level_range': {'x': 21.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1089.482788, 'y': 160.07959, 'z': -2937.857666}, 'level_range': {'x': 21.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1099.663574, 'y': 154.913528, 'z': -2651.227783}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 994.207031, 'y': 152.29184, 'z': -2604.416016}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1333.749146, 'y': 151.651855, 'z': -3022.033691}, 'level_range': {'x': 20.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1133.184814, 'y': 151.911118, 'z': -3121.161621}, 'level_range': {'x': 22.0, 'y': 26.0}, 'biome': 'ruins', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 624.387024, 'y': 158.027649, 'z': -2887.429199}, 'level_range': {'x': 24.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1303.825439, 'y': 154.870926, 'z': -2831.240967}, 'level_range': {'x': 20.0, 'y': 23.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1154.132813, 'y': 153.640961, 'z': -3086.32666}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1114.8396, 'y': 161.504898, 'z': -2830.51123}, 'level_range': {'x': 21.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1335.578247, 'y': 151.127304, 'z': -2972.755859}, 'level_range': {'x': 20.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1091.9823, 'y': 155.551346, 'z': -2650.587402}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1347.278564, 'y': 150.653564, 'z': -2921.411377}, 'level_range': {'x': 20.0, 'y': 23.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 752.884888, 'y': 161.665863, 'z': -2655.008789}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1091.142212, 'y': 155.772934, 'z': -2760.016846}, 'level_range': {'x': 21.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 923.275635, 'y': 155.273331, 'z': -3073.861084}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1236.699707, 'y': 154.929596, 'z': -2727.64209}, 'level_range': {'x': 19.0, 'y': 23.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1105.871094, 'y': 150.631775, 'z': -3100.272705}, 'level_range': {'x': 22.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1011.751404, 'y': 154.485153, 'z': -2798.230225}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 933.148376, 'y': 143.008621, 'z': -2962.14209}, 'level_range': {'x': 22.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1020.923157, 'y': 150.446136, 'z': -2942.225586}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1338.668091, 'y': 150.717606, 'z': -2966.801758}, 'level_range': {'x': 20.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1071.17395, 'y': 169.674316, 'z': -2840.005859}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 909.544495, 'y': 161.76561, 'z': -2594.556641}, 'level_range': {'x': 19.0, 'y': 23.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 964.926025, 'y': 154.731262, 'z': -2603.387939}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1300.635132, 'y': 150.872894, 'z': -2922.509277}, 'level_range': {'x': 20.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 765.912659, 'y': 150.516098, 'z': -2594.490234}, 'level_range': {'x': 20.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 480.720551, 'y': 154.884491, 'z': -2818.782471}, 'level_range': {'x': 24.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 968.667114, 'y': 144.776337, 'z': -2955.681152}, 'level_range': {'x': 22.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1138.940796, 'y': 158.639969, 'z': -2810.135742}, 'level_range': {'x': 21.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1051.540771, 'y': 157.370697, 'z': -2939.799316}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 817.452637, 'y': 151.270645, 'z': -2926.404297}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 454.447235, 'y': 149.978882, 'z': -2729.956299}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 674.410095, 'y': 161.54895, 'z': -2791.74585}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 831.650818, 'y': 150.919128, 'z': -2586.333496}, 'level_range': {'x': 19.0, 'y': 23.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 733.352722, 'y': 151.466492, 'z': -2840.028564}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 595.784607, 'y': 153.50032, 'z': -2874.112793}, 'level_range': {'x': 24.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 724.50708, 'y': 158.739746, 'z': -2679.830078}, 'level_range': {'x': 22.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 506.804352, 'y': 205.237778, 'z': -2723.446045}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 673.452942, 'y': 158.145645, 'z': -2845.672607}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1202.106934, 'y': 164.869919, 'z': -2901.772705}, 'level_range': {'x': 21.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 902.228088, 'y': 153.788208, 'z': -2642.283203}, 'level_range': {'x': 20.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1169.295166, 'y': 166.105835, 'z': -2866.882813}, 'level_range': {'x': 21.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 532.249084, 'y': 142.44548, 'z': -2677.177734}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 804.365479, 'y': 141.460663, 'z': -2963.889404}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 536.267883, 'y': 150.308258, 'z': -2878.04834}, 'level_range': {'x': 24.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 713.907898, 'y': 154.328827, 'z': -2652.951172}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 631.442688, 'y': 157.73494, 'z': -2823.286621}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 776.172424, 'y': 153.333969, 'z': -2920.266602}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1136.161499, 'y': 153.352402, 'z': -3152.454346}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'ruins', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1381.233032, 'y': 153.732559, 'z': -2852.964844}, 'level_range': {'x': 19.0, 'y': 23.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 567.313965, 'y': 155.453018, 'z': -2810.929688}, 'level_range': {'x': 24.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1030.971191, 'y': 150.971649, 'z': -2725.945801}, 'level_range': {'x': 21.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1296.937744, 'y': 156.723694, 'z': -2758.866943}, 'level_range': {'x': 19.0, 'y': 23.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 10}
{'position': {'x': 1080.189087, 'y': 153.832977, 'z': -2699.058838}, 'level_range': {'x': 20.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 613.483704, 'y': 151.082855, 'z': -2710.333252}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1250.384888, 'y': 163.67395, 'z': -2815.516846}, 'level_range': {'x': 20.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 615.012512, 'y': 156.577621, 'z': -2890.951172}, 'level_range': {'x': 24.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 667.192017, 'y': 168.955307, 'z': -2617.812256}, 'level_range': {'x': 21.0, 'y': 25.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 10}
{'position': {'x': 1088.059204, 'y': 158.226364, 'z': -2770.976563}, 'level_range': {'x': 21.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 879.169678, 'y': 162.644531, 'z': -2880.976074}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1062.029663, 'y': 153.256149, 'z': -2740.622803}, 'level_range': {'x': 21.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1035.442261, 'y': 163.512726, 'z': -2894.940186}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1235.269287, 'y': 161.354797, 'z': -2971.808838}, 'level_range': {'x': 21.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 804.177429, 'y': 159.794983, 'z': -2700.105713}, 'level_range': {'x': 22.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 446.850922, 'y': 153.69635, 'z': -2818.840576}, 'level_range': {'x': 24.0, 'y': 26.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 978.98938, 'y': 185.989594, 'z': -2728.844971}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 777.973328, 'y': 156.517746, 'z': -2625.235596}, 'level_range': {'x': 21.0, 'y': 24.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1071.841675, 'y': 169.623047, 'z': -2857.340332}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 1093.983398, 'y': 157.245209, 'z': -2769.246826}, 'level_range': {'x': 21.0, 'y': 25.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
{'position': {'x': 891.523987, 'y': 159.188736, 'z': -2572.354492}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 10}
