{'position': {'x': 1145.618408, 'y': 66.483757, 'z': -3404.503418}, 'level_range': {'x': 27.0, 'y': 29.0}, 'biome': 'riverside', 'substance': 'tsuchi', 'area_no': 11}
{'position': {'x': 839.820313, 'y': 107.136627, 'z': -3109.300293}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 752.938904, 'y': 104.528946, 'z': -3055.221924}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 914.46759, 'y': 75.421547, 'z': -3338.450684}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1162.606201, 'y': 166.518326, 'z': -3170.577393}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'desert', 'substance': 'suna_sabaku', 'area_no': 11}
{'position': {'x': 632.377197, 'y': 54.675331, 'z': -3390.250732}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 526.369019, 'y': 27.0, 'z': -3418.889648}, 'level_range': {'x': 27.0, 'y': 29.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 11}
{'position': {'x': 601.476318, 'y': 51.165897, 'z': -3377.327393}, 'level_range': {'x': 27.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 792.440979, 'y': 89.73764, 'z': -3277.886719}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1425.749146, 'y': 102.871185, 'z': -3345.796875}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 768.972229, 'y': 56.493813, 'z': -3447.070801}, 'level_range': {'x': 27.0, 'y': 29.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 11}
{'position': {'x': 958.711487, 'y': 62.522079, 'z': -3428.955811}, 'level_range': {'x': 27.0, 'y': 29.0}, 'biome': 'riverside', 'substance': 'tsuchi', 'area_no': 11}
{'position': {'x': 659.627136, 'y': 87.461052, 'z': -3068.220703}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 909.725952, 'y': 100.100143, 'z': -3185.077881}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 643.687256, 'y': 85.4123, 'z': -3093.197998}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'yuki', 'area_no': 11}
{'position': {'x': 994.765747, 'y': 93.972031, 'z': -3218.018555}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 539.260864, 'y': 83.21151, 'z': -3190.401123}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'town', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1061.119141, 'y': 63.560555, 'z': -3418.850342}, 'level_range': {'x': 27.0, 'y': 29.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 11}
{'position': {'x': 776.481567, 'y': 91.246056, 'z': -3257.317383}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1171.912231, 'y': 165.017609, 'z': -3266.001221}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'tsuchi', 'area_no': 11}
{'position': {'x': 368.675415, 'y': 27.0, 'z': -3058.922607}, 'level_range': {'x': 27.0, 'y': 29.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 11}
{'position': {'x': 996.990784, 'y': 70.197029, 'z': -3363.283203}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 765.893799, 'y': 100.738884, 'z': -3110.355957}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 373.459625, 'y': 27.0, 'z': -3096.088135}, 'level_range': {'x': 27.0, 'y': 29.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 11}
{'position': {'x': 833.075378, 'y': 88.102165, 'z': -3297.38623}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 653.620483, 'y': 87.465424, 'z': -3093.917969}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 11}
{'position': {'x': 764.923828, 'y': 99.023621, 'z': -3163.235596}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1227.016846, 'y': 163.591415, 'z': -3278.892822}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 508.913605, 'y': 27.0, 'z': -3421.536133}, 'level_range': {'x': 27.0, 'y': 29.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 11}
{'position': {'x': 1454.064209, 'y': 181.752609, 'z': -3158.631104}, 'level_range': {'x': 22.0, 'y': 25.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 763.007813, 'y': 69.623581, 'z': -3352.545166}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1227.299805, 'y': 164.069839, 'z': -3182.50415}, 'level_range': {'x': 23.0, 'y': 27.0}, 'biome': 'cave', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 663.35907, 'y': 58.323841, 'z': -3363.944824}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 875.726501, 'y': 99.944786, 'z': -3201.433838}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 11}
{'position': {'x': 1171.143921, 'y': 163.523163, 'z': -3194.726563}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1280.143555, 'y': 165.959503, 'z': -3262.145996}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1249.483887, 'y': 163.568069, 'z': -3275.594482}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 587.171204, 'y': 49.95285, 'z': -3370.597656}, 'level_range': {'x': 27.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 363.602875, 'y': 27.0, 'z': -3071.529297}, 'level_range': {'x': 27.0, 'y': 29.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 11}
{'position': {'x': 976.833679, 'y': 71.460747, 'z': -3339.101074}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 803.000793, 'y': 99.485809, 'z': -3148.103027}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1065.162476, 'y': 163.584198, 'z': -3223.850586}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1112.835083, 'y': 163.584198, 'z': -3214.901611}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 903.434753, 'y': 108.70253, 'z': -3131.714355}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 956.969971, 'y': 97.803459, 'z': -3185.309082}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 770.044434, 'y': 100.285652, 'z': -3128.013184}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 646.547241, 'y': 57.037819, 'z': -3426.353516}, 'level_range': {'x': 27.0, 'y': 29.0}, 'biome': 'riverside', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 458.313812, 'y': 27.0, 'z': -3213.837646}, 'level_range': {'x': 27.0, 'y': 29.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 11}
{'position': {'x': 860.545593, 'y': 61.397057, 'z': -3418.963867}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 11}
{'position': {'x': 1290.233154, 'y': 166.452835, 'z': -3197.488281}, 'level_range': {'x': 23.0, 'y': 27.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1450.857788, 'y': 180.00174, 'z': -3095.713867}, 'level_range': {'x': 22.0, 'y': 24.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 739.128845, 'y': 100.866867, 'z': -3050.088867}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1457.509399, 'y': 97.004349, 'z': -3371.481201}, 'level_range': {'x': 27.0, 'y': 29.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 11}
{'position': {'x': 1218.762695, 'y': 71.268723, 'z': -3359.181152}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 716.807495, 'y': 68.057907, 'z': -3429.482178}, 'level_range': {'x': 27.0, 'y': 29.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 11}
{'position': {'x': 1389.114258, 'y': 102.514084, 'z': -3309.980225}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 11}
{'position': {'x': 732.861816, 'y': 64.500603, 'z': -3367.357666}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1255.508911, 'y': 72.189819, 'z': -3355.600342}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 756.249939, 'y': 92.32122, 'z': -3245.54541}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 11}
{'position': {'x': 740.882019, 'y': 97.149315, 'z': -3212.934814}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
