{'position': {'x': 3348.127197, 'y': 140.944672, 'z': -3218.058838}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3553.400635, 'y': 165.049133, 'z': -3489.462891}, 'level_range': {'x': 28.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3383.998535, 'y': 165.181839, 'z': -3453.761475}, 'level_range': {'x': 28.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3297.488281, 'y': 139.543167, 'z': -3252.218018}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3206.420898, 'y': 163.451157, 'z': -3464.296631}, 'level_range': {'x': 28.0, 'y': 32.0}, 'biome': 'riverside', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3449.928955, 'y': 164.987778, 'z': -3433.110596}, 'level_range': {'x': 27.0, 'y': 31.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3396.935059, 'y': 157.884155, 'z': -3392.070801}, 'level_range': {'x': 27.0, 'y': 30.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 13}
{'position': {'x': 3336.700684, 'y': 150.003052, 'z': -3138.699219}, 'level_range': {'x': 25.0, 'y': 27.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3582.463135, 'y': 166.094223, 'z': -3522.30835}, 'level_range': {'x': 29.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3440.743896, 'y': 156.827744, 'z': -3398.088135}, 'level_range': {'x': 27.0, 'y': 30.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 13}
{'position': {'x': 3301.57373, 'y': 165.043381, 'z': -3390.31543}, 'level_range': {'x': 27.0, 'y': 30.0}, 'biome': 'riverside', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3294.258789, 'y': 160.465057, 'z': -3414.657715}, 'level_range': {'x': 27.0, 'y': 31.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 13}
{'position': {'x': 3430.416504, 'y': 165.313141, 'z': -3446.924561}, 'level_range': {'x': 28.0, 'y': 31.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3277.117432, 'y': 140.508789, 'z': -3278.718994}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3436.675537, 'y': 162.159317, 'z': -3343.409424}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3170.5271, 'y': 150.139114, 'z': -3340.135742}, 'level_range': {'x': 26.0, 'y': 30.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3310.263428, 'y': 140.031982, 'z': -3221.226318}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3345.600586, 'y': 165.051285, 'z': -3492.841064}, 'level_range': {'x': 29.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3394.419434, 'y': 172.525757, 'z': -3509.355469}, 'level_range': {'x': 29.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3225.90918, 'y': 165.13382, 'z': -3384.476563}, 'level_range': {'x': 27.0, 'y': 30.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3395.395996, 'y': 159.262695, 'z': -3314.726807}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3309.957275, 'y': 165.09642, 'z': -3458.853271}, 'level_range': {'x': 28.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3174.795166, 'y': 156.955902, 'z': -3370.90918}, 'level_range': {'x': 27.0, 'y': 30.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3405.825195, 'y': 164.835373, 'z': -3360.837891}, 'level_range': {'x': 26.0, 'y': 30.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3305.492432, 'y': 144.240692, 'z': -3308.875}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3461.878418, 'y': 156.318115, 'z': -3401.210205}, 'level_range': {'x': 27.0, 'y': 30.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 13}
{'position': {'x': 3211.243408, 'y': 164.988098, 'z': -3414.95874}, 'level_range': {'x': 27.0, 'y': 31.0}, 'biome': 'riverside', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3458.70166, 'y': 160.424423, 'z': -3486.089844}, 'level_range': {'x': 29.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3443.561279, 'y': 162.515579, 'z': -3343.549805}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3511.820068, 'y': 165.054916, 'z': -3463.813232}, 'level_range': {'x': 28.0, 'y': 31.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3361.444092, 'y': 136.859665, 'z': -3285.345459}, 'level_range': {'x': 25.0, 'y': 29.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3311.094238, 'y': 165.931076, 'z': -3392.469971}, 'level_range': {'x': 27.0, 'y': 30.0}, 'biome': 'riverside', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3171.287842, 'y': 161.522476, 'z': -3405.383789}, 'level_range': {'x': 27.0, 'y': 31.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3331.727295, 'y': 165.885025, 'z': -3536.035156}, 'level_range': {'x': 29.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3334.908203, 'y': 141.045822, 'z': -3217.467285}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3377.04126, 'y': 158.413849, 'z': -3410.439941}, 'level_range': {'x': 27.0, 'y': 31.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 13}
{'position': {'x': 3512.801758, 'y': 166.126419, 'z': -3509.157959}, 'level_range': {'x': 29.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3352.987305, 'y': 164.988098, 'z': -3423.944092}, 'level_range': {'x': 28.0, 'y': 31.0}, 'biome': 'riverside', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3396.7229, 'y': 169.004929, 'z': -3540.868164}, 'level_range': {'x': 30.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3247.546143, 'y': 142.544632, 'z': -3265.625732}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3493.453857, 'y': 164.213715, 'z': -3491.008789}, 'level_range': {'x': 29.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3367.07251, 'y': 136.931396, 'z': -3242.421387}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3385.835693, 'y': 164.499786, 'z': -3580.507813}, 'level_range': {'x': 30.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3385.465332, 'y': 164.499786, 'z': -3606.376953}, 'level_range': {'x': 30.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3308.46167, 'y': 150.003052, 'z': -3124.367676}, 'level_range': {'x': 25.0, 'y': 27.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3346.347656, 'y': 164.616348, 'z': -3472.137939}, 'level_range': {'x': 28.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3572.083496, 'y': 166.272568, 'z': -3504.26416}, 'level_range': {'x': 28.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3323.489502, 'y': 149.972534, 'z': -3128.189941}, 'level_range': {'x': 25.0, 'y': 27.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3342.469482, 'y': 165.878738, 'z': -3503.964111}, 'level_range': {'x': 29.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3264.919678, 'y': 161.180923, 'z': -3428.460449}, 'level_range': {'x': 28.0, 'y': 31.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 13}
{'position': {'x': 3335.35498, 'y': 164.53656, 'z': -3452.924805}, 'level_range': {'x': 28.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3312.272461, 'y': 165.741699, 'z': -3385.896973}, 'level_range': {'x': 27.0, 'y': 30.0}, 'biome': 'riverside', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3358.385986, 'y': 148.147446, 'z': -3198.625}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3367.123291, 'y': 164.988098, 'z': -3431.992676}, 'level_range': {'x': 28.0, 'y': 31.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3232.688965, 'y': 142.873337, 'z': -3236.26001}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3312.82666, 'y': 142.774399, 'z': -3266.135742}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3289.999512, 'y': 143.169144, 'z': -3198.074707}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3431.588867, 'y': 164.839615, 'z': -3416.482666}, 'level_range': {'x': 27.0, 'y': 31.0}, 'biome': 'riverside', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3302.897461, 'y': 139.820084, 'z': -3264.388184}, 'level_range': {'x': 25.0, 'y': 28.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3444.813477, 'y': 165.253677, 'z': -3381.619873}, 'level_range': {'x': 26.0, 'y': 30.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 13}
{'position': {'x': 3194.624756, 'y': 159.713989, 'z': -3370.232666}, 'level_range': {'x': 27.0, 'y': 30.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3545.948242, 'y': 164.988098, 'z': -3468.656982}, 'level_range': {'x': 28.0, 'y': 31.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3424.188965, 'y': 164.866959, 'z': -3529.664795}, 'level_range': {'x': 29.0, 'y': 32.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
{'position': {'x': 3413.313232, 'y': 164.926804, 'z': -3431.632324}, 'level_range': {'x': 28.0, 'y': 31.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 13}
