{'position': {'x': 2559.166016, 'y': 436.4711, 'z': -3563.982422}, 'level_range': {'x': 36.0, 'y': 40.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 2747.174072, 'y': 348.548767, 'z': -3472.51001}, 'level_range': {'x': 35.0, 'y': 39.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 17}
{'position': {'x': 2788.726074, 'y': 386.446381, 'z': -3369.66626}, 'level_range': {'x': 34.0, 'y': 38.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 17}
{'position': {'x': 2539.095703, 'y': 343.814545, 'z': -3470.373779}, 'level_range': {'x': 35.0, 'y': 39.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 2393.772461, 'y': 256.859192, 'z': -3460.677002}, 'level_range': {'x': 36.0, 'y': 40.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 2519.113281, 'y': 351.476959, 'z': -3285.219727}, 'level_range': {'x': 35.0, 'y': 39.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 2898.541992, 'y': 515.579956, 'z': -3641.736084}, 'level_range': {'x': 36.0, 'y': 40.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 3261.48584, 'y': 347.968018, 'z': -3580.420654}, 'level_range': {'x': 38.0, 'y': 42.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 17}
{'position': {'x': 2593.089355, 'y': 351.068329, 'z': -3276.311035}, 'level_range': {'x': 34.0, 'y': 38.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 2790.47876, 'y': 250.076294, 'z': -2987.859863}, 'level_range': {'x': 34.0, 'y': 37.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 3110.737061, 'y': 547.783447, 'z': -3772.195557}, 'level_range': {'x': 37.0, 'y': 41.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 2629.288574, 'y': 326.229431, 'z': -3476.092773}, 'level_range': {'x': 35.0, 'y': 39.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 17}
{'position': {'x': 3155.756348, 'y': 167.083466, 'z': -2982.148193}, 'level_range': {'x': 34.0, 'y': 36.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 17}
{'position': {'x': 2965.346191, 'y': 201.176178, 'z': -2975.774658}, 'level_range': {'x': 34.0, 'y': 36.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 2684.485107, 'y': 360.169678, 'z': -3494.676758}, 'level_range': {'x': 35.0, 'y': 39.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 17}
{'position': {'x': 2767.116455, 'y': 450.195007, 'z': -3596.416504}, 'level_range': {'x': 35.0, 'y': 39.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 2953.612061, 'y': 473.14621, 'z': -3538.502441}, 'level_range': {'x': 36.0, 'y': 40.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 3092.613525, 'y': 557.994995, 'z': -3769.32666}, 'level_range': {'x': 37.0, 'y': 41.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
{'position': {'x': 2603.912598, 'y': 348.805634, 'z': -3359.029785}, 'level_range': {'x': 34.0, 'y': 38.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 17}
{'position': {'x': 2555.809814, 'y': 335.132111, 'z': -3456.518799}, 'level_range': {'x': 35.0, 'y': 39.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 17}
