{'position': {'x': 3960.262939, 'y': 256.582855, 'z': -3404.489502}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 3885.147705, 'y': 220.014648, 'z': -3711.512695}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 4412.313965, 'y': 250.031235, 'z': -3485.681152}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 4057.097656, 'y': 222.880707, 'z': -3715.902588}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 4024.9104, 'y': 220.014648, 'z': -3686.868652}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 4157.880371, 'y': 300.341827, 'z': -3887.330078}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 4371.908691, 'y': 250.045776, 'z': -3480.956055}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 4269.104492, 'y': 284.129761, 'z': -3505.809082}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 22}
{'position': {'x': 4379.166992, 'y': 250.137329, 'z': -3508.581543}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 4184.058594, 'y': 250.045776, 'z': -3414.841064}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 3884.166504, 'y': 248.915314, 'z': -3443.638184}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 22}
{'position': {'x': 3935.104736, 'y': 300.299988, 'z': -3571.113525}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 22}
{'position': {'x': 4216.171387, 'y': 229.0, 'z': -3515.722168}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 22}
{'position': {'x': 4019.794434, 'y': 220.014648, 'z': -3702.135986}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 4069.150635, 'y': 220.014648, 'z': -3673.85791}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 4198.92627, 'y': 229.0, 'z': -3519.106445}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 22}
{'position': {'x': 4022.155029, 'y': 220.014648, 'z': -3650.285156}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 3883.932373, 'y': 249.947815, 'z': -3476.214355}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 3975.188965, 'y': 219.5, 'z': -3732.872559}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 22}
{'position': {'x': 3862.133545, 'y': 249.914688, 'z': -3486.844971}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 3832.261719, 'y': 220.427353, 'z': -3700.824219}, 'level_range': {'x': 49.0, 'y': 53.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 3932.533936, 'y': 250.015259, 'z': -3349.87207}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 4001.397217, 'y': 300.259399, 'z': -3393.921387}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 3973.920654, 'y': 220.014648, 'z': -3659.356689}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 4326.914063, 'y': 250.045776, 'z': -3447.97998}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 4066.788818, 'y': 244.437729, 'z': -3442.188477}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
{'position': {'x': 3875.497559, 'y': 220.014648, 'z': -3738.96167}, 'level_range': {'x': 49.0, 'y': 53.0}, 'biome': 'bamboo_forest', 'substance': 'tsuchi', 'area_no': 22}
{'position': {'x': 4001.289063, 'y': 219.681015, 'z': -3682.26001}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 22}
{'position': {'x': 4454.789551, 'y': 246.444901, 'z': -3224.422607}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'rocky_area', 'substance': 'shiba', 'area_no': 22}
