{'position': {'x': 1363.722778, 'y': 125.038193, 'z': -1430.194214}, 'level_range': {'x': 16.0, 'y': 19.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 5}
{'position': {'x': 1227.116089, 'y': 102.392723, 'z': -1402.4375}, 'level_range': {'x': 16.0, 'y': 19.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 5}
{'position': {'x': 1851.58374, 'y': 74.334213, 'z': -1008.514221}, 'level_range': {'x': 16.0, 'y': 19.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 5}
{'position': {'x': 1756.589844, 'y': 53.157173, 'z': -964.170471}, 'level_range': {'x': 16.0, 'y': 19.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 5}
{'position': {'x': 1678.576294, 'y': 106.523476, 'z': -1105.932983}, 'level_range': {'x': 16.0, 'y': 19.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 5}
{'position': {'x': 1198.063599, 'y': 104.823738, 'z': -1430.046509}, 'level_range': {'x': 16.0, 'y': 19.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 5}
{'position': {'x': 1576.354736, 'y': 50.021366, 'z': -965.652893}, 'level_range': {'x': 16.0, 'y': 19.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 5}
{'position': {'x': 1805.459595, 'y': 49.34594, 'z': -988.078552}, 'level_range': {'x': 16.0, 'y': 19.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 5}
{'position': {'x': 1647.96228, 'y': 124.469032, 'z': -1136.627563}, 'level_range': {'x': 16.0, 'y': 19.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 5}
{'position': {'x': 1498.06958, 'y': 102.240143, 'z': -1338.890259}, 'level_range': {'x': 16.0, 'y': 19.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 5}
{'position': {'x': 1792.63562, 'y': 53.429592, 'z': -973.470276}, 'level_range': {'x': 16.0, 'y': 19.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 5}
{'position': {'x': 1678.081665, 'y': 51.606335, 'z': -1046.705688}, 'level_range': {'x': 16.0, 'y': 19.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 5}
{'position': {'x': 1715.561279, 'y': 27.0, 'z': -855.381042}, 'level_range': {'x': 16.0, 'y': 19.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 5}
{'position': {'x': 1904.144653, 'y': 65.545357, 'z': -946.978577}, 'level_range': {'x': 16.0, 'y': 19.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 5}
{'position': {'x': 1792.460205, 'y': 99.844986, 'z': -1238.11731}, 'level_range': {'x': 16.0, 'y': 19.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 5}
{'position': {'x': 1170.378784, 'y': 102.407814, 'z': -1432.450073}, 'level_range': {'x': 16.0, 'y': 19.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 5}
{'position': {'x': 2171.895508, 'y': 100.350601, 'z': -913.255615}, 'level_range': {'x': 16.0, 'y': 19.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 5}
{'position': {'x': 1341.552979, 'y': 124.36866, 'z': -1313.370728}, 'level_range': {'x': 16.0, 'y': 19.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 5}
{'position': {'x': 1782.71106, 'y': 53.785923, 'z': -952.47998}, 'level_range': {'x': 16.0, 'y': 19.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 5}
{'position': {'x': 1622.233521, 'y': 109.717392, 'z': -1258.554565}, 'level_range': {'x': 16.0, 'y': 19.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 5}
{'position': {'x': 1944.252441, 'y': 118.625862, 'z': -1190.341797}, 'level_range': {'x': 18.0, 'y': 22.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 5}
