{'position': {'x': 529.604187, 'y': 27.0, 'z': -913.678772}, 'level_range': {'x': 42.0, 'y': 44.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 6}
{'position': {'x': 990.138428, 'y': 300.18924, 'z': -1180.91272}, 'level_range': {'x': 38.0, 'y': 41.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 718.380432, 'y': 27.0, 'z': -826.430664}, 'level_range': {'x': 42.0, 'y': 44.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 6}
{'position': {'x': 670.203125, 'y': 297.033081, 'z': -1023.228577}, 'level_range': {'x': 41.0, 'y': 44.0}, 'biome': 'town', 'substance': 'shiba_kare', 'area_no': 6}
{'position': {'x': 1061.564453, 'y': 27.0, 'z': -780.338928}, 'level_range': {'x': 40.0, 'y': 43.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 6}
{'position': {'x': 893.798889, 'y': 293.377258, 'z': -1357.225708}, 'level_range': {'x': 38.0, 'y': 41.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 702.30896, 'y': 300.22229, 'z': -1248.594116}, 'level_range': {'x': 39.0, 'y': 43.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 951.25946, 'y': 300.006104, 'z': -987.990723}, 'level_range': {'x': 39.0, 'y': 43.0}, 'biome': 'town', 'substance': 'shiba_kare', 'area_no': 6}
{'position': {'x': 1123.353394, 'y': 371.4216, 'z': -971.747131}, 'level_range': {'x': 38.0, 'y': 42.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 1087.489746, 'y': 351.029541, 'z': -1132.610352}, 'level_range': {'x': 38.0, 'y': 41.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 1068.894897, 'y': 292.812897, 'z': -1239.108154}, 'level_range': {'x': 37.0, 'y': 41.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 925.65625, 'y': 301.955444, 'z': -1335.803833}, 'level_range': {'x': 37.0, 'y': 41.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 1266.268555, 'y': 128.096222, 'z': -1284.060181}, 'level_range': {'x': 37.0, 'y': 39.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 620.124878, 'y': 27.0, 'z': -884.367554}, 'level_range': {'x': 42.0, 'y': 44.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 6}
{'position': {'x': 1158.770874, 'y': 369.55188, 'z': -1067.018677}, 'level_range': {'x': 37.0, 'y': 41.0}, 'biome': 'mountain', 'substance': 'shiba', 'area_no': 6}
{'position': {'x': 1029.021118, 'y': 27.0, 'z': -782.733398}, 'level_range': {'x': 40.0, 'y': 43.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 6}
{'position': {'x': 1066.999146, 'y': 292.141449, 'z': -1248.598389}, 'level_range': {'x': 37.0, 'y': 41.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 611.707214, 'y': 27.0, 'z': -1283.845947}, 'level_range': {'x': 39.0, 'y': 43.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 6}
{'position': {'x': 985.512573, 'y': 300.006104, 'z': -930.897949}, 'level_range': {'x': 39.0, 'y': 43.0}, 'biome': 'mountain', 'substance': 'shiba_kare', 'area_no': 6}
{'position': {'x': 1057.817017, 'y': 295.623322, 'z': -1199.741943}, 'level_range': {'x': 37.0, 'y': 41.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 6}
{'position': {'x': 907.214783, 'y': 301.139069, 'z': -1183.724121}, 'level_range': {'x': 38.0, 'y': 42.0}, 'biome': 'town', 'substance': 'shiba_kare', 'area_no': 6}
{'position': {'x': 564.293213, 'y': 27.0, 'z': -906.783447}, 'level_range': {'x': 42.0, 'y': 44.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 6}
{'position': {'x': 1198.18103, 'y': 408.037537, 'z': -1094.120117}, 'level_range': {'x': 37.0, 'y': 41.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 6}
