X,Y,Z,Min Lvl,Max Lvl,Biome,Substance,area
1176.920654 , 148.313522 , -689.335876 , 55.0 , 67.0 , bamboo_forest , doro , 1
1651.605347 , 143.751923 , -755.638489 , 55.0 , 67.0 , prairie , tsuchi_sado , 1
1612.522339 , 142.261932 , -951.393677 , 55.0 , 67.0 , prairie , shiba_kare , 1
1497.502197 , 151.154266 , -610.556152 , 55.0 , 67.0 , prairie , shiba_kare , 1
1186.937744 , 170.41687 , -893.32135 , 55.0 , 67.0 , prairie , shiba_kare , 1
1285.709595 , 172.911377 , -389.391144 , 55.0 , 67.0 , prairie , shiba_kare , 1
1050.722046 , 187.301498 , -764.419067 , 55.0 , 67.0 , prairie , tsuchi_sado , 1
1325.75415 , 143.306519 , -835.947937 , 55.0 , 67.0 , prairie , shiba , 1
1313.865112 , 159.290939 , -930.133972 , 55.0 , 67.0 , prairie , shiba_kare , 1
1423.255249 , 147.87999 , -466.71817 , 55.0 , 67.0 , lake , doro , 1
1074.282104 , 191.804077 , -273.750641 , 55.0 , 67.0 , prairie , tsuchi_sado , 1
1450.442017 , 147.87999 , -476.862854 , 55.0 , 67.0 , lake , doro , 1
1810.665283 , 154.763519 , -932.430664 , 55.0 , 67.0 , prairie , shiba , 1
1755.634521 , 146.449997 , -807.560852 , 55.0 , 67.0 , lake , shiba_kare , 1
1632.24707 , 151.57222 , -494.733673 , 55.0 , 67.0 , prairie , shiba , 1
1556.342285 , 137.680283 , -886.90332 , 55.0 , 67.0 , volcano , doro , 1
1672.591675 , 161.012466 , -545.712463 , 55.0 , 67.0 , prairie , shiba , 1
1327.781128 , 159.294205 , -866.606506 , 55.0 , 67.0 , rocky_area , iwa , 1
1400.180054 , 148.610504 , -345.124176 , 55.0 , 67.0 , prairie , shiba_kare , 1
1485.502563 , 147.87999 , -462.878479 , 55.0 , 67.0 , lake , doro , 1
1523.612549 , 141.326065 , -951.603882 , 55.0 , 67.0 , prairie , shiba_kare , 1
1253.366333 , 148.576584 , -655.019226 , 55.0 , 67.0 , prairie , shiba_kare , 1
1055.301392 , 160.087006 , -523.955017 , 55.0 , 67.0 , prairie , shiba_kare , 1
1040.614868 , 149.972534 , -928.935547 , 55.0 , 67.0 , prairie , shiba_kare , 1
1105.441162 , 148.416046 , -690.273438 , 55.0 , 67.0 , prairie , tsuchi_sado , 1
1462.46814 , 138.970108 , -823.177246 , 55.0 , 67.0 , prairie , shiba , 1
1650.702881 , 148.362457 , -668.077271 , 55.0 , 67.0 , prairie , shiba_kare , 1
1539.259033 , 150.550018 , -341.873566 , 55.0 , 67.0 , prairie , shiba_kare , 1
1478.87561 , 152.768372 , -355.012329 , 55.0 , 67.0 , prairie , shiba , 1
1296.729004 , 151.236374 , -561.161743 , 55.0 , 67.0 , prairie , shiba_kare , 1
1643.120117 , 146.510605 , -985.84552 , 55.0 , 67.0 , prairie , shiba_kare , 1
1380.636108 , 159.276978 , -882.000854 , 55.0 , 67.0 , prairie , tsuchi_sado , 1
1485.763062 , 156.195282 , -679.532898 , 55.0 , 67.0 , prairie , shiba_kare , 1
1143.647949 , 156.702438 , -554.609131 , 55.0 , 67.0 , prairie , shiba_kare , 1
1395.785522 , 147.87999 , -413.306946 , 55.0 , 67.0 , lake , doro , 1
1783.991821 , 155.191711 , -754.364014 , 55.0 , 67.0 , prairie , shiba_kare , 1
1829.231689 , 146.615387 , -812.062622 , 55.0 , 67.0 , prairie , doro , 1
1470.384888 , 148.049805 , -521.421692 , 55.0 , 67.0 , swamp , doro , 1
1565.989258 , 148.972366 , -653.576477 , 55.0 , 67.0 , prairie , shiba_kare , 1
1710.341064 , 153.53862 , -988.526917 , 55.0 , 67.0 , prairie , shiba , 1
1183.375488 , 171.385818 , -880.143311 , 55.0 , 67.0 , prairie , shiba , 1
1791.975342 , 162.034927 , -718.63446 , 55.0 , 67.0 , prairie , shiba , 1
1015.809631 , 160.932144 , -503.000885 , 55.0 , 67.0 , prairie , shiba_kare , 1
1200.409058 , 204.929581 , -196.018585 , 55.0 , 67.0 , prairie , shiba_kare , 1
1093.167236 , 194.134796 , -251.733627 , 55.0 , 67.0 , prairie , tsuchi_sado , 1
1394.566895 , 147.87999 , -476.790131 , 55.0 , 67.0 , lake , doro , 1
1365.340576 , 165.287567 , -602.515381 , 55.0 , 67.0 , rocky_area , iwa , 1
1366.657837 , 164.316666 , -640.133484 , 55.0 , 67.0 , prairie , shiba , 1
1646.27124 , 158.130478 , -475.371429 , 55.0 , 67.0 , prairie , shiba , 1
1573.008179 , 137.680283 , -865.642456 , 55.0 , 67.0 , lake , doro , 1
1783.56311 , 154.62587 , -958.054199 , 55.0 , 67.0 , prairie , shiba , 1
1243.65564 , 162.067322 , -949.897278 , 55.0 , 67.0 , prairie , shiba , 1
1585.16394 , 138.680344 , -861.365784 , 55.0 , 67.0 , prairie , shiba_kare , 1
1352.183472 , 164.316666 , -672.703674 , 55.0 , 67.0 , volcano , shiba , 1
