{'position': {'x': 1176.920654, 'y': 148.313522, 'z': -689.335876}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'bamboo_forest', 'substance': 'doro', 'area_no': 1}
{'position': {'x': 1651.605347, 'y': 143.751923, 'z': -755.638489}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'tsuchi_sado', 'area_no': 1}
{'position': {'x': 1612.522339, 'y': 142.261932, 'z': -951.393677}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1497.502197, 'y': 151.154266, 'z': -610.556152}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1186.937744, 'y': 170.41687, 'z': -893.32135}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1285.709595, 'y': 172.911377, 'z': -389.391144}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1050.722046, 'y': 187.301498, 'z': -764.419067}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'tsuchi_sado', 'area_no': 1}
{'position': {'x': 1325.75415, 'y': 143.306519, 'z': -835.947937}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1313.865112, 'y': 159.290939, 'z': -930.133972}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1423.255249, 'y': 147.87999, 'z': -466.71817}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'lake', 'substance': 'doro', 'area_no': 1}
{'position': {'x': 1074.282104, 'y': 191.804077, 'z': -273.750641}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'tsuchi_sado', 'area_no': 1}
{'position': {'x': 1450.442017, 'y': 147.87999, 'z': -476.862854}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'lake', 'substance': 'doro', 'area_no': 1}
{'position': {'x': 1810.665283, 'y': 154.763519, 'z': -932.430664}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1755.634521, 'y': 146.449997, 'z': -807.560852}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'lake', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1632.24707, 'y': 151.57222, 'z': -494.733673}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1556.342285, 'y': 137.680283, 'z': -886.90332}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'volcano', 'substance': 'doro', 'area_no': 1}
{'position': {'x': 1672.591675, 'y': 161.012466, 'z': -545.712463}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1327.781128, 'y': 159.294205, 'z': -866.606506}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 1}
{'position': {'x': 1400.180054, 'y': 148.610504, 'z': -345.124176}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1485.502563, 'y': 147.87999, 'z': -462.878479}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'lake', 'substance': 'doro', 'area_no': 1}
{'position': {'x': 1523.612549, 'y': 141.326065, 'z': -951.603882}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1253.366333, 'y': 148.576584, 'z': -655.019226}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1055.301392, 'y': 160.087006, 'z': -523.955017}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1040.614868, 'y': 149.972534, 'z': -928.935547}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1105.441162, 'y': 148.416046, 'z': -690.273438}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'tsuchi_sado', 'area_no': 1}
{'position': {'x': 1462.46814, 'y': 138.970108, 'z': -823.177246}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1650.702881, 'y': 148.362457, 'z': -668.077271}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1539.259033, 'y': 150.550018, 'z': -341.873566}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1478.87561, 'y': 152.768372, 'z': -355.012329}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1296.729004, 'y': 151.236374, 'z': -561.161743}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1643.120117, 'y': 146.510605, 'z': -985.84552}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1380.636108, 'y': 159.276978, 'z': -882.000854}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'tsuchi_sado', 'area_no': 1}
{'position': {'x': 1485.763062, 'y': 156.195282, 'z': -679.532898}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1143.647949, 'y': 156.702438, 'z': -554.609131}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1395.785522, 'y': 147.87999, 'z': -413.306946}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'lake', 'substance': 'doro', 'area_no': 1}
{'position': {'x': 1783.991821, 'y': 155.191711, 'z': -754.364014}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1829.231689, 'y': 146.615387, 'z': -812.062622}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'doro', 'area_no': 1}
{'position': {'x': 1470.384888, 'y': 148.049805, 'z': -521.421692}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'swamp', 'substance': 'doro', 'area_no': 1}
{'position': {'x': 1565.989258, 'y': 148.972366, 'z': -653.576477}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1710.341064, 'y': 153.53862, 'z': -988.526917}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1183.375488, 'y': 171.385818, 'z': -880.143311}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1791.975342, 'y': 162.034927, 'z': -718.63446}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1015.809631, 'y': 160.932144, 'z': -503.000885}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1200.409058, 'y': 204.929581, 'z': -196.018585}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1093.167236, 'y': 194.134796, 'z': -251.733627}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'tsuchi_sado', 'area_no': 1}
{'position': {'x': 1394.566895, 'y': 147.87999, 'z': -476.790131}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'lake', 'substance': 'doro', 'area_no': 1}
{'position': {'x': 1365.340576, 'y': 165.287567, 'z': -602.515381}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 1}
{'position': {'x': 1366.657837, 'y': 164.316666, 'z': -640.133484}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1646.27124, 'y': 158.130478, 'z': -475.371429}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1573.008179, 'y': 137.680283, 'z': -865.642456}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'lake', 'substance': 'doro', 'area_no': 1}
{'position': {'x': 1783.56311, 'y': 154.62587, 'z': -958.054199}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1243.65564, 'y': 162.067322, 'z': -949.897278}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1585.16394, 'y': 138.680344, 'z': -861.365784}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1352.183472, 'y': 164.316666, 'z': -672.703674}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'volcano', 'substance': 'shiba', 'area_no': 1}
{'position': {'x': 1286.790405, 'y': 204.524445, 'z': -255.42157}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1352.58252, 'y': 148.232925, 'z': -476.267273}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1064.328125, 'y': 151.074005, 'z': -634.255127}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 1}
{'position': {'x': 1078.041016, 'y': 186.601105, 'z': -841.180908}, 'level_range': {'x': 55.0, 'y': 67.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 1}
