{'position': {'x': 1485.548218, 'y': 162.015656, 'z': -1064.127197}, 'level_range': {'x': 58.0, 'y': 68.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 2}
{'position': {'x': 1596.737305, 'y': 171.213196, 'z': -1181.133545}, 'level_range': {'x': 58.0, 'y': 68.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 2}
{'position': {'x': 1601.838379, 'y': 170.88916, 'z': -1190.124512}, 'level_range': {'x': 58.0, 'y': 68.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 2}
{'position': {'x': 1006.466187, 'y': 149.5, 'z': -1520.767822}, 'level_range': {'x': 58.0, 'y': 68.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 2}
{'position': {'x': 1375.700928, 'y': 149.5, 'z': -1355.970215}, 'level_range': {'x': 58.0, 'y': 68.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 2}
{'position': {'x': 1028.810425, 'y': 160.058334, 'z': -1397.920898}, 'level_range': {'x': 58.0, 'y': 68.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 2}
{'position': {'x': 1119.553589, 'y': 163.423676, 'z': -1567.640991}, 'level_range': {'x': 58.0, 'y': 68.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 2}
{'position': {'x': 1276.347534, 'y': 226.603592, 'z': -1037.59668}, 'level_range': {'x': 58.0, 'y': 68.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 2}
{'position': {'x': 1257.644409, 'y': 167.398804, 'z': -1329.085571}, 'level_range': {'x': 58.0, 'y': 68.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 2}
{'position': {'x': 1208.042236, 'y': 149.5, 'z': -1705.997803}, 'level_range': {'x': 58.0, 'y': 68.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 2}
{'position': {'x': 1554.807373, 'y': 164.787399, 'z': -1172.717896}, 'level_range': {'x': 58.0, 'y': 68.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 2}
{'position': {'x': 1098.874756, 'y': 149.5, 'z': -1826.328857}, 'level_range': {'x': 58.0, 'y': 68.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 2}
{'position': {'x': 1014.804871, 'y': 176.822037, 'z': -1170.07959}, 'level_range': {'x': 58.0, 'y': 68.0}, 'biome': 'prairie', 'substance': 'iwa', 'area_no': 2}
{'position': {'x': 1630.775513, 'y': 176.066696, 'z': -1396.038818}, 'level_range': {'x': 58.0, 'y': 68.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 2}
{'position': {'x': 1528.478027, 'y': 150.93605, 'z': -1064.573853}, 'level_range': {'x': 58.0, 'y': 68.0}, 'biome': 'rocky_area', 'substance': 'suna_sunahama', 'area_no': 2}
{'position': {'x': 1225.719116, 'y': 262.450012, 'z': -1092.062256}, 'level_range': {'x': 58.0, 'y': 68.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 2}
{'position': {'x': 1290.594238, 'y': 151.010193, 'z': -1478.887085}, 'level_range': {'x': 58.0, 'y': 68.0}, 'biome': 'desert', 'substance': 'suna_sunahama', 'area_no': 2}
{'position': {'x': 1356.120117, 'y': 149.5, 'z': -1754.017578}, 'level_range': {'x': 58.0, 'y': 68.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 2}
{'position': {'x': 1466.942505, 'y': 160.750443, 'z': -1411.694702}, 'level_range': {'x': 58.0, 'y': 68.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 2}
{'position': {'x': 1271.009766, 'y': 165.876709, 'z': -1331.25061}, 'level_range': {'x': 58.0, 'y': 68.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 2}
{'position': {'x': 1437.905762, 'y': 198.622238, 'z': -1165.148926}, 'level_range': {'x': 58.0, 'y': 68.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 2}
{'position': {'x': 1639.461914, 'y': 171.455963, 'z': -1292.470825}, 'level_range': {'x': 58.0, 'y': 68.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 2}
{'position': {'x': 1530.838867, 'y': 158.479614, 'z': -1563.753662}, 'level_range': {'x': 58.0, 'y': 68.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 2}
{'position': {'x': 1503.644043, 'y': 226.186279, 'z': -1285.012695}, 'level_range': {'x': 58.0, 'y': 68.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 2}
{'position': {'x': 1095.353149, 'y': 286.797821, 'z': -1092.170166}, 'level_range': {'x': 58.0, 'y': 68.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 2}
{'position': {'x': 1281.893066, 'y': 256.350006, 'z': -1128.702881}, 'level_range': {'x': 58.0, 'y': 68.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 2}
{'position': {'x': 1530.772949, 'y': 151.205093, 'z': -1068.109619}, 'level_range': {'x': 58.0, 'y': 68.0}, 'biome': 'rocky_area', 'substance': 'suna_sunahama', 'area_no': 2}
{'position': {'x': 1352.233887, 'y': 202.514359, 'z': -1277.123657}, 'level_range': {'x': 58.0, 'y': 68.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 2}
{'position': {'x': 1463.636475, 'y': 159.609467, 'z': -1466.968018}, 'level_range': {'x': 58.0, 'y': 68.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 2}
{'position': {'x': 1788.933594, 'y': 149.5, 'z': -1307.034302}, 'level_range': {'x': 58.0, 'y': 68.0}, 'biome': 'ocean', 'substance': 'iwa', 'area_no': 2}
{'position': {'x': 1338.278564, 'y': 170.665863, 'z': -1605.480957}, 'level_range': {'x': 58.0, 'y': 68.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 2}
