{'position': {'x': 758.106323, 'y': 149.5, 'z': -328.791779}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 3}
{'position': {'x': 856.172424, 'y': 177.071655, 'z': -282.595032}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 3}
{'position': {'x': 835.389221, 'y': 166.099289, 'z': -435.586823}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 3}
{'position': {'x': 875.531067, 'y': 202.403915, 'z': -169.787796}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 649.451233, 'y': 238.824921, 'z': -522.573547}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 904.480652, 'y': 157.354263, 'z': -838.258423}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'doro', 'area_no': 3}
{'position': {'x': 681.496887, 'y': 149.656021, 'z': -324.9133}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 704.610413, 'y': 224.169922, 'z': -485.404572}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 977.722168, 'y': 155.994003, 'z': -586.657288}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'doro', 'area_no': 3}
{'position': {'x': 194.175034, 'y': 299.511414, 'z': -819.190186}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 786.163086, 'y': 149.5, 'z': -339.459045}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 3}
{'position': {'x': 544.153931, 'y': 150.064102, 'z': -296.924683}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 3}
{'position': {'x': 636.478271, 'y': 238.967224, 'z': -604.70636}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'doro', 'area_no': 3}
{'position': {'x': 575.07605, 'y': 257.05191, 'z': -560.88562}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'kawasuna', 'area_no': 3}
{'position': {'x': 709.765198, 'y': 263.199554, 'z': -659.680725}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'bamboo_forest', 'substance': 'doro', 'area_no': 3}
{'position': {'x': 502.137268, 'y': 170.12413, 'z': -339.097778}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 929.540161, 'y': 202.406326, 'z': -228.481354}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 3}
{'position': {'x': 748.239441, 'y': 149.5, 'z': -487.977661}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 3}
{'position': {'x': 761.809265, 'y': 151.337128, 'z': -345.365784}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 3}
{'position': {'x': 498.330109, 'y': 267.716522, 'z': -901.279602}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 3}
{'position': {'x': 971.651489, 'y': 206.608841, 'z': -172.069901}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'doro', 'area_no': 3}
{'position': {'x': 511.853943, 'y': 266.949341, 'z': -904.756287}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 3}
{'position': {'x': 468.333618, 'y': 237.868469, 'z': -710.38147}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 3}
{'position': {'x': 466.827057, 'y': 266.933228, 'z': -940.593018}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 3}
{'position': {'x': 909.067871, 'y': 156.589706, 'z': -846.08783}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'doro', 'area_no': 3}
{'position': {'x': 594.443542, 'y': 223.274368, 'z': -450.291016}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'riverside', 'substance': 'kawasuna', 'area_no': 3}
{'position': {'x': 253.234421, 'y': 300.341705, 'z': -843.235291}, 'level_range': {'x': 59.0, 'y': 70.0}, 'biome': 'rocky_area', 'substance': 'doro', 'area_no': 3}
