{'position': {'x': 975.504028, 'y': 149.5, 'z': -1461.805176}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 978.867126, 'y': 151.751831, 'z': -1078.599487}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 924.71759, 'y': 149.5, 'z': -1758.445068}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 656.606445, 'y': 152.953796, 'z': -1333.983765}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 875.023132, 'y': 149.5, 'z': -1407.815308}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'lake', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 596.543396, 'y': 149.861771, 'z': -1402.413086}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 761.259521, 'y': 149.5, 'z': -1781.945068}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 807.97821, 'y': 149.5, 'z': -1619.614136}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 805.414368, 'y': 149.5, 'z': -1535.257446}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 744.989746, 'y': 149.5, 'z': -1531.945679}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'ocean', 'substance': 'koori', 'area_no': 4}
{'position': {'x': 462.862152, 'y': 337.174408, 'z': -1172.682251}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'yuki', 'area_no': 4}
{'position': {'x': 903.900696, 'y': 150.553711, 'z': -1449.88916}, 'level_range': {'x': 62.0, 'y': 71.0}, 'biome': 'snowfield', 'substance': 'koori', 'area_no': 4}
