{'position': {'x': 1542.491455, 'y': 155.793533, 'z': -1711.491821}, 'level_range': {'x': 50.0, 'y': 53.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1662.518188, 'y': 163.391174, 'z': -1687.228638}, 'level_range': {'x': 50.0, 'y': 53.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1528.223022, 'y': 187.230972, 'z': -1271.061646}, 'level_range': {'x': 30.0, 'y': 39.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1417.686523, 'y': 183.832138, 'z': -1235.008789}, 'level_range': {'x': 30.0, 'y': 39.0}, 'biome': 'prairie', 'substance': 'iwa', 'area_no': 11}
{'position': {'x': 1249.907471, 'y': 184.215332, 'z': -1668.005249}, 'level_range': {'x': 30.0, 'y': 39.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1501.807617, 'y': 183.804138, 'z': -1284.723511}, 'level_range': {'x': 30.0, 'y': 39.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 914.733765, 'y': 186.043396, 'z': -1577.553101}, 'level_range': {'x': 30.0, 'y': 39.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 764.980469, 'y': 208.86702, 'z': -1626.059937}, 'level_range': {'x': 30.0, 'y': 39.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 11}
{'position': {'x': 1200.406738, 'y': 182.099991, 'z': -1482.253662}, 'level_range': {'x': 30.0, 'y': 39.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 11}
{'position': {'x': 1539.765503, 'y': 155.303558, 'z': -1690.160522}, 'level_range': {'x': 50.0, 'y': 53.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1322.39978, 'y': 149.741074, 'z': -1583.207031}, 'level_range': {'x': 50.0, 'y': 53.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1586.80896, 'y': 163.347778, 'z': -1556.072021}, 'level_range': {'x': 50.0, 'y': 53.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
{'position': {'x': 1478.563965, 'y': 150.188416, 'z': -1564.910645}, 'level_range': {'x': 50.0, 'y': 53.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 11}
