{'position': {'x': 3355.487305, 'y': 139.992676, 'z': -2991.549316}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3834.87085, 'y': 164.535385, 'z': -2988.570313}, 'level_range': {'x': 23.0, 'y': 27.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 4480.333984, 'y': 104.986877, 'z': -3076.833984}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3804.143799, 'y': 150.003052, 'z': -3080.430176}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3527.636719, 'y': 149.988159, 'z': -2780.066406}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 4441.943848, 'y': 27.0, 'z': -2954.899658}, 'level_range': {'x': 23.0, 'y': 27.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 4410.552246, 'y': 27.0, 'z': -2842.886719}, 'level_range': {'x': 22.0, 'y': 26.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3798.4729, 'y': 150.006973, 'z': -3231.015869}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3638.523926, 'y': 185.514008, 'z': -3018.078857}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3320.642822, 'y': 119.811607, 'z': -2789.17749}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'lake', 'substance': 'doro', 'area_no': 14}
{'position': {'x': 3952.317139, 'y': 129.896484, 'z': -3036.421143}, 'level_range': {'x': 22.0, 'y': 26.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3351.918213, 'y': 145.114944, 'z': -3018.00415}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3548.438721, 'y': 150.683151, 'z': -3288.030029}, 'level_range': {'x': 26.0, 'y': 29.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3332.012939, 'y': 150.003052, 'z': -2867.267578}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3927.272705, 'y': 150.003052, 'z': -3132.386963}, 'level_range': {'x': 23.0, 'y': 27.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3465.8479, 'y': 149.959137, 'z': -2753.649658}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 4441.316406, 'y': 104.986877, 'z': -3086.481934}, 'level_range': {'x': 24.0, 'y': 27.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3880.316162, 'y': 130.555923, 'z': -2771.356201}, 'level_range': {'x': 22.0, 'y': 26.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
{'position': {'x': 3487.41333, 'y': 150.064102, 'z': -3018.482178}, 'level_range': {'x': 24.0, 'y': 28.0}, 'biome': 'mine', 'substance': 'tsuchi', 'area_no': 14}
