{'position': {'x': 4065.64917, 'y': 41.415596, 'z': -2379.059814}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 16}
{'position': {'x': 3957.125488, 'y': 42.330467, 'z': -2460.057373}, 'level_range': {'x': 19.0, 'y': 23.0}, 'biome': 'town', 'substance': 'shiba', 'area_no': 16}
{'position': {'x': 4293.355957, 'y': 141.546631, 'z': -2854.115723}, 'level_range': {'x': 21.0, 'y': 25.0}, 'biome': 'prairie', 'substance': 'shiba_kare', 'area_no': 16}
{'position': {'x': 3707.814453, 'y': 100.07325, 'z': -2377.392822}, 'level_range': {'x': 20.0, 'y': 24.0}, 'biome': 'ruins', 'substance': 'shiba', 'area_no': 16}
{'position': {'x': 3633.314941, 'y': 104.592781, 'z': -2556.618652}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'riverside', 'substance': 'tsuchi', 'area_no': 16}
{'position': {'x': 3583.568115, 'y': 102.30442, 'z': -2269.491455}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'riverside', 'substance': 'tsuchi', 'area_no': 16}
{'position': {'x': 3499.120117, 'y': 116.417831, 'z': -2448.759033}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 16}
{'position': {'x': 4287.597168, 'y': 29.47938, 'z': -2278.603027}, 'level_range': {'x': 20.0, 'y': 23.0}, 'biome': 'beach', 'substance': 'suna_sunahama', 'area_no': 16}
{'position': {'x': 3731.737793, 'y': 98.204193, 'z': -2605.751465}, 'level_range': {'x': 23.0, 'y': 26.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 16}
{'position': {'x': 4293.844727, 'y': 141.488129, 'z': -2843.10498}, 'level_range': {'x': 21.0, 'y': 25.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 16}
{'position': {'x': 3917.108154, 'y': 42.360985, 'z': -2429.039795}, 'level_range': {'x': 19.0, 'y': 23.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 16}
{'position': {'x': 3894.937744, 'y': 100.012207, 'z': -2465.522217}, 'level_range': {'x': 20.0, 'y': 23.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 16}
{'position': {'x': 3948.576172, 'y': 45.559296, 'z': -2389.347412}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'riverside', 'substance': 'shiba', 'area_no': 16}
{'position': {'x': 3879.51001, 'y': 103.894859, 'z': -2486.885254}, 'level_range': {'x': 20.0, 'y': 23.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 16}
{'position': {'x': 3395.552246, 'y': 120.96077, 'z': -2680.694336}, 'level_range': {'x': 24.0, 'y': 26.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 16}
{'position': {'x': 3842.283447, 'y': 96.088013, 'z': -2131.66333}, 'level_range': {'x': 19.0, 'y': 22.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 16}
