{'position': {'x': 571.127625, 'y': 58.056931, 'z': -4225.402344}, 'level_range': {'x': 52.0, 'y': 55.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 18}
{'position': {'x': 1855.098389, 'y': 49.230766, 'z': -4013.397217}, 'level_range': {'x': 51.0, 'y': 54.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1791.595703, 'y': 49.230766, 'z': -3882.708008}, 'level_range': {'x': 50.0, 'y': 54.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 902.107056, 'y': 49.230766, 'z': -3614.643311}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1457.490723, 'y': 49.230766, 'z': -3818.371338}, 'level_range': {'x': 49.0, 'y': 53.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 849.168945, 'y': 49.230766, 'z': -4025.600586}, 'level_range': {'x': 50.0, 'y': 54.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 858.891052, 'y': 49.230766, 'z': -3804.27002}, 'level_range': {'x': 49.0, 'y': 53.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 995.886658, 'y': 49.230766, 'z': -4140.01416}, 'level_range': {'x': 51.0, 'y': 55.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1012.325684, 'y': 49.230766, 'z': -3914.19043}, 'level_range': {'x': 50.0, 'y': 53.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1491.012329, 'y': 49.230766, 'z': -3771.350586}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1061.119141, 'y': 94.768303, 'z': -4617.82666}, 'level_range': {'x': 54.0, 'y': 56.0}, 'biome': 'forest', 'substance': 'shiba_kare', 'area_no': 18}
{'position': {'x': 1325.951782, 'y': 73.677185, 'z': -3570.308838}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 18}
{'position': {'x': 885.739075, 'y': 49.230766, 'z': -3848.529297}, 'level_range': {'x': 49.0, 'y': 53.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1855.01062, 'y': 112.577332, 'z': -3690.953369}, 'level_range': {'x': 50.0, 'y': 54.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 18}
{'position': {'x': 1438.130371, 'y': 49.230766, 'z': -4298.67334}, 'level_range': {'x': 51.0, 'y': 55.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1798.55896, 'y': 119.45256, 'z': -3742.3396}, 'level_range': {'x': 50.0, 'y': 53.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 18}
{'position': {'x': 1616.433472, 'y': 130.375961, 'z': -4348.736328}, 'level_range': {'x': 52.0, 'y': 55.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 935.012146, 'y': 49.230766, 'z': -4225.803711}, 'level_range': {'x': 52.0, 'y': 55.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 735.443176, 'y': 49.230766, 'z': -3632.48584}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 544.658752, 'y': 27.0, 'z': -3985.295898}, 'level_range': {'x': 50.0, 'y': 54.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 18}
{'position': {'x': 675.663635, 'y': 59.448193, 'z': -4192.272461}, 'level_range': {'x': 51.0, 'y': 55.0}, 'biome': 'lake', 'substance': 'doro', 'area_no': 18}
{'position': {'x': 1311.059082, 'y': 74.01918, 'z': -3416.787109}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'riverside', 'substance': 'shiba', 'area_no': 18}
{'position': {'x': 758.933411, 'y': 27.0, 'z': -4522.723633}, 'level_range': {'x': 53.0, 'y': 56.0}, 'biome': 'ocean', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1335.608276, 'y': 49.230766, 'z': -4097.715332}, 'level_range': {'x': 51.0, 'y': 54.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1123.182373, 'y': 49.230766, 'z': -3713.704346}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1399.43811, 'y': 49.230766, 'z': -4202.289063}, 'level_range': {'x': 51.0, 'y': 55.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1158.506226, 'y': 49.230766, 'z': -3749.109619}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1033.797974, 'y': 49.230766, 'z': -4075.855225}, 'level_range': {'x': 51.0, 'y': 54.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1062.874756, 'y': 49.230766, 'z': -3941.31665}, 'level_range': {'x': 50.0, 'y': 53.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1408.273071, 'y': 109.47419, 'z': -4378.478027}, 'level_range': {'x': 52.0, 'y': 55.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 18}
{'position': {'x': 1186.982666, 'y': 49.230766, 'z': -4307.198242}, 'level_range': {'x': 52.0, 'y': 55.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 862.142639, 'y': 100.012207, 'z': -4486.892578}, 'level_range': {'x': 53.0, 'y': 56.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 18}
{'position': {'x': 844.102722, 'y': 60.577637, 'z': -4250.912598}, 'level_range': {'x': 52.0, 'y': 55.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 18}
{'position': {'x': 1155.24353, 'y': 54.86274, 'z': -3547.57251}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 18}
{'position': {'x': 1358.95813, 'y': 49.230766, 'z': -3955.550537}, 'level_range': {'x': 50.0, 'y': 53.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1118.134766, 'y': 49.230766, 'z': -4120.37793}, 'level_range': {'x': 51.0, 'y': 54.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1102.305542, 'y': 49.230766, 'z': -4197.543945}, 'level_range': {'x': 51.0, 'y': 55.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 818.589417, 'y': 49.230766, 'z': -4127.839844}, 'level_range': {'x': 51.0, 'y': 55.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1922.072144, 'y': 120.459335, 'z': -3638.709473}, 'level_range': {'x': 50.0, 'y': 54.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 18}
{'position': {'x': 942.375, 'y': 49.230766, 'z': -3622.716553}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 714.363831, 'y': 49.230766, 'z': -3595.639893}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1204.531982, 'y': 49.230766, 'z': -3894.327637}, 'level_range': {'x': 50.0, 'y': 53.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 771.85791, 'y': 49.230766, 'z': -4218.476563}, 'level_range': {'x': 52.0, 'y': 55.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1155.977295, 'y': 49.230766, 'z': -3698.029785}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1879.915283, 'y': 49.230766, 'z': -3942.217773}, 'level_range': {'x': 51.0, 'y': 54.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1386.513916, 'y': 109.158363, 'z': -4327.84082}, 'level_range': {'x': 52.0, 'y': 55.0}, 'biome': 'rocky_area', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1098.947388, 'y': 49.230766, 'z': -3897.374023}, 'level_range': {'x': 50.0, 'y': 53.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1251.786865, 'y': 49.230766, 'z': -4263.702637}, 'level_range': {'x': 52.0, 'y': 55.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1563.365479, 'y': 49.230766, 'z': -3906.790771}, 'level_range': {'x': 50.0, 'y': 53.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 766.722168, 'y': 49.230766, 'z': -3894.4729}, 'level_range': {'x': 50.0, 'y': 53.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 771.410522, 'y': 88.740791, 'z': -4381.529785}, 'level_range': {'x': 53.0, 'y': 56.0}, 'biome': 'forest', 'substance': 'shiba', 'area_no': 18}
{'position': {'x': 1583.710327, 'y': 103.671646, 'z': -3634.155762}, 'level_range': {'x': 49.0, 'y': 53.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 18}
{'position': {'x': 1825.445068, 'y': 49.230766, 'z': -4072.261719}, 'level_range': {'x': 51.0, 'y': 54.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1334.365845, 'y': 49.230766, 'z': -3898.233643}, 'level_range': {'x': 50.0, 'y': 53.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1337.163208, 'y': 49.230766, 'z': -3681.063965}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 554.88031, 'y': 55.768963, 'z': -4196.900391}, 'level_range': {'x': 52.0, 'y': 55.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 18}
{'position': {'x': 1394.864624, 'y': 49.230766, 'z': -3876.772217}, 'level_range': {'x': 49.0, 'y': 53.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 769.953125, 'y': 49.230766, 'z': -3670.531006}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 643.188477, 'y': 57.906822, 'z': -3473.107422}, 'level_range': {'x': 49.0, 'y': 51.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 18}
{'position': {'x': 911.40155, 'y': 49.230766, 'z': -3742.128418}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'iwa', 'area_no': 18}
{'position': {'x': 1317.001221, 'y': 108.491112, 'z': -4443.26709}, 'level_range': {'x': 52.0, 'y': 56.0}, 'biome': 'forest', 'substance': 'shiba_kare', 'area_no': 18}
{'position': {'x': 1306.39563, 'y': 71.808868, 'z': -3511.224609}, 'level_range': {'x': 49.0, 'y': 52.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 18}
{'position': {'x': 1288.866333, 'y': 57.330399, 'z': -3996.999756}, 'level_range': {'x': 50.0, 'y': 54.0}, 'biome': 'lake', 'substance': 'shiba', 'area_no': 18}
