{'position': {'x': 1859.522583, 'y': 27.0, 'z': -4753.298828}, 'level_range': {'x': 44.0, 'y': 47.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2457.090576, 'y': 30.028667, 'z': -4743.005371}, 'level_range': {'x': 44.0, 'y': 48.0}, 'biome': 'flower', 'substance': 'shiba', 'area_no': 20}
{'position': {'x': 1991.516968, 'y': 27.0, 'z': -4867.253418}, 'level_range': {'x': 46.0, 'y': 50.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2502.797607, 'y': 29.786974, 'z': -4723.177246}, 'level_range': {'x': 43.0, 'y': 47.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 20}
{'position': {'x': 1999.778931, 'y': 27.0, 'z': -4860.282227}, 'level_range': {'x': 46.0, 'y': 50.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2297.037109, 'y': 28.409599, 'z': -4864.729004}, 'level_range': {'x': 47.0, 'y': 50.0}, 'biome': 'flower', 'substance': 'shiba', 'area_no': 20}
{'position': {'x': 2299.9104, 'y': 27.71463, 'z': -4871.677734}, 'level_range': {'x': 47.0, 'y': 50.0}, 'biome': 'beach', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2566.878174, 'y': 27.0, 'z': -4781.254395}, 'level_range': {'x': 44.0, 'y': 47.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 20}
{'position': {'x': 2241.515137, 'y': 76.691025, 'z': -4583.845215}, 'level_range': {'x': 43.0, 'y': 47.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 20}
{'position': {'x': 2439.855469, 'y': 31.927914, 'z': -4717.979004}, 'level_range': {'x': 44.0, 'y': 47.0}, 'biome': 'flower', 'substance': 'shiba', 'area_no': 20}
{'position': {'x': 2302.294189, 'y': 27.0, 'z': -4900.48877}, 'level_range': {'x': 47.0, 'y': 50.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2270.97168, 'y': 27.0, 'z': -4904.733398}, 'level_range': {'x': 47.0, 'y': 50.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 1835.916382, 'y': 27.0, 'z': -4834.788574}, 'level_range': {'x': 45.0, 'y': 48.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 1826.437622, 'y': 27.0, 'z': -4777.299805}, 'level_range': {'x': 44.0, 'y': 48.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2284.764893, 'y': 74.011703, 'z': -4592.567871}, 'level_range': {'x': 43.0, 'y': 47.0}, 'biome': 'flower', 'substance': 'shiba', 'area_no': 20}
{'position': {'x': 2513.313477, 'y': 27.0, 'z': -4778.52832}, 'level_range': {'x': 44.0, 'y': 48.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2351.643311, 'y': 57.47604, 'z': -4640.294434}, 'level_range': {'x': 44.0, 'y': 47.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 20}
{'position': {'x': 1904.433716, 'y': 27.0, 'z': -4857.641602}, 'level_range': {'x': 46.0, 'y': 49.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2342.36377, 'y': 27.557436, 'z': -4862.181152}, 'level_range': {'x': 47.0, 'y': 50.0}, 'biome': 'beach', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2211.516602, 'y': 95.475388, 'z': -4508.547852}, 'level_range': {'x': 43.0, 'y': 46.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 20}
{'position': {'x': 2020.619141, 'y': 41.112282, 'z': -4769.224121}, 'level_range': {'x': 45.0, 'y': 48.0}, 'biome': 'beach', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2026.310181, 'y': 28.223122, 'z': -4838.65332}, 'level_range': {'x': 46.0, 'y': 49.0}, 'biome': 'beach', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2101.452393, 'y': 27.0, 'z': -4918.51416}, 'level_range': {'x': 47.0, 'y': 50.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2523.750977, 'y': 27.0, 'z': -4792.689941}, 'level_range': {'x': 44.0, 'y': 48.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2472.547852, 'y': 29.617807, 'z': -4785.043457}, 'level_range': {'x': 45.0, 'y': 48.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 20}
{'position': {'x': 2108.789307, 'y': 27.0, 'z': -4910.714355}, 'level_range': {'x': 47.0, 'y': 50.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2294.693848, 'y': 27.0, 'z': -4907.973145}, 'level_range': {'x': 47.0, 'y': 50.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 1886.57605, 'y': 27.0, 'z': -4883.763672}, 'level_range': {'x': 46.0, 'y': 49.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 1905.230103, 'y': 27.0, 'z': -4850.607422}, 'level_range': {'x': 45.0, 'y': 49.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 1997.273682, 'y': 27.0, 'z': -4901.01709}, 'level_range': {'x': 47.0, 'y': 50.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2408.247314, 'y': 29.786974, 'z': -4814.439941}, 'level_range': {'x': 45.0, 'y': 49.0}, 'biome': 'flower', 'substance': 'shiba', 'area_no': 20}
{'position': {'x': 1914.596558, 'y': 27.0, 'z': -4827.440918}, 'level_range': {'x': 45.0, 'y': 49.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2240.830811, 'y': 94.650826, 'z': -4509.849609}, 'level_range': {'x': 43.0, 'y': 46.0}, 'biome': 'riverside', 'substance': 'yuki', 'area_no': 20}
{'position': {'x': 1922.93396, 'y': 27.0, 'z': -4867.40625}, 'level_range': {'x': 46.0, 'y': 49.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2053.693848, 'y': 41.003643, 'z': -4780.084961}, 'level_range': {'x': 45.0, 'y': 49.0}, 'biome': 'flower', 'substance': 'shiba', 'area_no': 20}
{'position': {'x': 2212.168701, 'y': 27.154327, 'z': -4893.825684}, 'level_range': {'x': 47.0, 'y': 50.0}, 'biome': 'beach', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 1920.914673, 'y': 27.0, 'z': -4815.890137}, 'level_range': {'x': 45.0, 'y': 48.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 1908.446045, 'y': 27.0, 'z': -4776.442383}, 'level_range': {'x': 44.0, 'y': 48.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2359.837891, 'y': 53.63612, 'z': -4657.516602}, 'level_range': {'x': 44.0, 'y': 47.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 20}
{'position': {'x': 2413.930176, 'y': 27.838408, 'z': -4832.146973}, 'level_range': {'x': 46.0, 'y': 49.0}, 'biome': 'beach', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2429.291504, 'y': 27.975725, 'z': -4817.544434}, 'level_range': {'x': 45.0, 'y': 49.0}, 'biome': 'beach', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 1910.545532, 'y': 27.0, 'z': -4774.544434}, 'level_range': {'x': 44.0, 'y': 48.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 1827.118896, 'y': 27.0, 'z': -4784.967285}, 'level_range': {'x': 44.0, 'y': 48.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2358.320068, 'y': 27.0, 'z': -4891.376465}, 'level_range': {'x': 47.0, 'y': 50.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2477.428467, 'y': 27.0, 'z': -4840.731445}, 'level_range': {'x': 45.0, 'y': 49.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2108.740479, 'y': 27.0, 'z': -4894.066895}, 'level_range': {'x': 47.0, 'y': 50.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2108.066895, 'y': 27.542856, 'z': -4870.94873}, 'level_range': {'x': 47.0, 'y': 50.0}, 'biome': 'beach', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2543.577148, 'y': 27.0, 'z': -4818.144531}, 'level_range': {'x': 44.0, 'y': 48.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 20}
{'position': {'x': 1919.469116, 'y': 27.0, 'z': -4785.960449}, 'level_range': {'x': 45.0, 'y': 48.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2140.665527, 'y': 26.763977, 'z': -4887.837891}, 'level_range': {'x': 47.0, 'y': 50.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 20}
{'position': {'x': 2335.416504, 'y': 27.0, 'z': -4894.068359}, 'level_range': {'x': 47.0, 'y': 50.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2163.423828, 'y': 101.206337, 'z': -4500.477539}, 'level_range': {'x': 43.0, 'y': 46.0}, 'biome': 'riverside', 'substance': 'iwa', 'area_no': 20}
{'position': {'x': 2238.036865, 'y': 71.929352, 'z': -4605.807129}, 'level_range': {'x': 44.0, 'y': 47.0}, 'biome': 'riverside', 'substance': 'shiba', 'area_no': 20}
{'position': {'x': 2393.504883, 'y': 28.343826, 'z': -4837.782715}, 'level_range': {'x': 46.0, 'y': 49.0}, 'biome': 'prairie', 'substance': 'shiba', 'area_no': 20}
{'position': {'x': 2309.851318, 'y': 27.0, 'z': -4900.160645}, 'level_range': {'x': 47.0, 'y': 50.0}, 'biome': 'ocean', 'substance': 'suna_sunahama', 'area_no': 20}
{'position': {'x': 2431.827881, 'y': 29.891335, 'z': -4782.793457}, 'level_range': {'x': 45.0, 'y': 48.0}, 'biome': 'flower', 'substance': 'shiba', 'area_no': 20}
