{'position': {'x': 277.885834, 'y': 27.0, 'z': -2003.122803}, 'level_range': {'x': 18.0, 'y': 28.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 350.170441, 'y': 27.0, 'z': -2952.236572}, 'level_range': {'x': 32.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 222.157166, 'y': 27.0, 'z': -2350.945801}, 'level_range': {'x': 18.0, 'y': 29.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 126.557861, 'y': 27.0, 'z': -2968.204346}, 'level_range': {'x': 34.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 605.570923, 'y': 27.0, 'z': -1462.554565}, 'level_range': {'x': 18.0, 'y': 25.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 657.851318, 'y': 27.0, 'z': -1552.982788}, 'level_range': {'x': 18.0, 'y': 24.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 334.597687, 'y': 27.0, 'z': -1581.678833}, 'level_range': {'x': 18.0, 'y': 27.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 427.564453, 'y': 27.0, 'z': -1782.459595}, 'level_range': {'x': 18.0, 'y': 26.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 169.374756, 'y': 27.0, 'z': -2459.720215}, 'level_range': {'x': 18.0, 'y': 30.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 208.58168, 'y': 27.0, 'z': -2242.202881}, 'level_range': {'x': 18.0, 'y': 29.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 613.746948, 'y': 27.0, 'z': -1654.015381}, 'level_range': {'x': 18.0, 'y': 24.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 351.449646, 'y': 27.0, 'z': -3087.104736}, 'level_range': {'x': 33.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 88.578125, 'y': 27.0, 'z': -2481.948486}, 'level_range': {'x': 18.0, 'y': 30.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 342.650848, 'y': 27.0, 'z': -2666.739502}, 'level_range': {'x': 27.0, 'y': 39.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 234.143799, 'y': 27.0, 'z': -1790.532227}, 'level_range': {'x': 18.0, 'y': 28.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 356.440186, 'y': 27.0, 'z': -2999.724609}, 'level_range': {'x': 33.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 309.081299, 'y': 27.0, 'z': -3300.810059}, 'level_range': {'x': 34.0, 'y': 42.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 588.947632, 'y': 27.0, 'z': -1585.405029}, 'level_range': {'x': 18.0, 'y': 24.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 496.360962, 'y': 27.0, 'z': -1779.595581}, 'level_range': {'x': 18.0, 'y': 26.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
{'position': {'x': 641.581482, 'y': 27.0, 'z': -1635.279785}, 'level_range': {'x': 18.0, 'y': 24.0}, 'biome': 'ocean', 'substance': 'tsuchi', 'area_no': 25}
