X,Y,Z,Min Lvl,Max Lvl,Biome,Substance,area
995.274597 , 98.85247 , -368.147186 , 9.0 , 12.0 , prairie , shiba , 1
1198.446655 , 105.057312 , -428.10321 , 9.0 , 12.0 , prairie , shiba , 1
1203.856079 , 108.258553 , -359.263519 , 9.0 , 12.0 , prairie , shiba , 1
787.421082 , 113.858292 , -387.236481 , 9.0 , 12.0 , prairie , shiba , 1
802.018799 , 101.732498 , -325.324219 , 9.0 , 12.0 , prairie , shiba , 1
1213.755981 , 105.039017 , -328.343994 , 9.0 , 12.0 , swamp , doro , 1
1188.1427 , 108.5047 , -459.068542 , 9.0 , 12.0 , prairie , doro , 1
1109.498413 , 105.830505 , -327.051056 , 9.0 , 12.0 , prairie , shiba , 1
1130.748657 , 99.561493 , -355.478882 , 9.0 , 12.0 , swamp , doro , 1
1252.628906 , 101.727936 , -424.790405 , 9.0 , 12.0 , riverside , kawasuna , 1
903.542664 , 102.97924 , -342.115936 , 9.0 , 12.0 , prairie , shiba , 1
1094.582886 , 110.107513 , -312.323547 , 9.0 , 12.0 , prairie , shiba , 1
1117.164185 , 99.873497 , -354.928558 , 9.0 , 12.0 , rocky_area , shiba , 1
921.139404 , 102.978073 , -313.795807 , 9.0 , 12.0 , prairie , shiba , 1
1211.488647 , 103.563446 , -396.95816 , 9.0 , 12.0 , prairie , shiba , 1
1067.428101 , 103.490685 , -318.570404 , 9.0 , 12.0 , prairie , shiba , 1
1155.343506 , 101.817589 , -373.258148 , 9.0 , 12.0 , prairie , doro , 1
1106.933105 , 101.711311 , -369.910583 , 9.0 , 12.0 , prairie , doro , 1
1237.765503 , 104.202202 , -398.495422 , 9.0 , 12.0 , prairie , shiba , 1
1144.909058 , 99.561493 , -362.929932 , 9.0 , 12.0 , swamp , doro , 1
1083.787231 , 99.217957 , -341.970184 , 9.0 , 12.0 , prairie , shiba , 1
1046.509888 , 98.821953 , -367.912445 , 9.0 , 12.0 , prairie , shiba , 1
1234.648682 , 104.621513 , -366.738281 , 9.0 , 12.0 , prairie , shiba , 1
1160.147339 , 106.549065 , -443.063904 , 9.0 , 12.0 , swamp , doro , 1
1253.728027 , 101.590752 , -421.219604 , 9.0 , 12.0 , riverside , kawasuna , 1
915.483032 , 103.29921 , -314.642975 , 9.0 , 12.0 , prairie , shiba , 1
1223.040161 , 104.228462 , -398.583771 , 9.0 , 12.0 , prairie , shiba , 1
1189.319092 , 107.080154 , -450.005341 , 9.0 , 12.0 , prairie , shiba , 1
1086.543945 , 99.852547 , -378.208923 , 9.0 , 12.0 , rocky_area , doro , 1
793.560059 , 101.362991 , -341.332397 , 9.0 , 12.0 , prairie , shiba , 1
1206.338013 , 105.611313 , -431.796112 , 9.0 , 12.0 , prairie , shiba , 1
1284.819458 , 101.0 , -395.464752 , 9.0 , 12.0 , riverside , kawasuna , 1
1185.208618 , 101.394524 , -387.673828 , 9.0 , 12.0 , prairie , shiba , 1
841.07959 , 103.751434 , -341.846008 , 9.0 , 12.0 , prairie , shiba , 1
743.588989 , 112.057076 , -345.885864 , 9.0 , 12.0 , rocky_area , iwa , 1
1017.838928 , 98.85247 , -362.404755 , 9.0 , 12.0 , prairie , shiba , 1
1066.705444 , 110.739594 , -539.522522 , 9.0 , 12.0 , rocky_area , iwa , 1
1030.257813 , 98.85247 , -375.792603 , 9.0 , 12.0 , prairie , shiba , 1
760.008423 , 128.486374 , -388.855499 , 9.0 , 12.0 , rocky_area , iwa , 1
1160.851929 , 108.205765 , -452.460114 , 9.0 , 12.0 , rocky_area , doro , 1
984.870605 , 110.960419 , -379.891418 , 9.0 , 12.0 , rocky_area , iwa , 1
1212.695801 , 105.7584 , -437.555847 , 9.0 , 12.0 , prairie , shiba , 1
1066.877319 , 98.85247 , -342.686493 , 9.0 , 12.0 , prairie , shiba , 1
1164.747803 , 104.53344 , -417.614563 , 9.0 , 12.0 , swamp , doro , 1
1049.989014 , 98.856613 , -330.703888 , 9.0 , 12.0 , prairie , shiba , 1
955.027283 , 100.49958 , -335.04599 , 9.0 , 12.0 , prairie , shiba , 1
1300.216064 , 103.902916 , -334.231628 , 9.0 , 12.0 , prairie , shiba , 1
1183.251587 , 100.782036 , -371.946625 , 9.0 , 12.0 , prairie , shiba , 1
971.155396 , 99.452461 , -357.199158 , 9.0 , 12.0 , prairie , shiba , 1
1274.036377 , 101.105186 , -406.643951 , 9.0 , 12.0 , riverside , kawasuna , 1
939.209106 , 100.973259 , -338.906982 , 9.0 , 12.0 , prairie , shiba , 1
1189.770996 , 106.33326 , -438.839569 , 9.0 , 12.0 , prairie , shiba , 1
1020.199768 , 98.85247 , -356.151733 , 9.0 , 12.0 , prairie , shiba , 1
874.633179 , 104.590797 , -328.103363 , 9.0 , 12.0 , prairie , shiba , 1
919.447571 , 102.317184 , -331.760986 , 9.0 , 12.0 , prairie , shiba , 1
1090.494263 , 104.000336 , -426.133331 , 9.0 , 12.0 , swamp , doro , 1
1192.49231 , 107.435944 , -451.991882 , 9.0 , 12.0 , prairie , shiba , 1
1131.00647 , 104.106613 , -430.989258 , 9.0 , 12.0 , rocky_area , doro , 1
